"",BBK01.AU1735,BBK01.AU1735_FLAGS
"","Base money / Bundesbank Figures are daily averages for the reserve maintenance period ending in the month indicated. Owing to the changeover to the new operational framework for monetary policity, there is no reserve maintenance period ending in February 2004.",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 15:18:35,
1999-02,158545,
1999-03,158194,
1999-04,158866,
1999-05,159650,
1999-06,160550,
1999-07,161407,
1999-08,162045,
1999-09,161783,
1999-10,161802,
1999-11,162348,
1999-12,167134,
2000-01,170230,
2000-02,165825,
2000-03,165381,
2000-04,166370,
2000-05,168611,
2000-06,167302,
2000-07,167248,
2000-08,166471,
2000-09,165878,
2000-10,165676,
2000-11,165077,
2000-12,167382,
2001-01,167135,
2001-02,163146,
2001-03,162425,
2001-04,162779,
2001-05,162712,
2001-06,161442,
2001-07,159738,
2001-08,157331,
2001-09,152676,
2001-10,148172,
2001-11,142871,
2001-12,134946,
2002-01,130998,
2002-02,117159,
2002-03,118064,
2002-04,118772,
2002-05,122031,
2002-06,123805,
2002-07,127465,
2002-08,130155,
2002-09,130400,
2002-10,131628,
2002-11,132630,
2002-12,137272,
2003-01,137047,
2003-02,134100,
2003-03,135513,
2003-04,139098,
2003-05,140741,
2003-06,142835,
2003-07,145428,
2003-08,147900,
2003-09,147878,
2003-10,148447,
2003-11,149121,
2003-12,153368,
2004-01,154082,
2004-02,.,No value available
2004-03,151499,
2004-04,153932,
2004-05,156988,
2004-06,159866,
2004-07,161147,
2004-08,164616,
2004-09,165390,
2004-10,165266,
2004-11,165978,
2004-12,167549,
2005-01,172686,
2005-02,171097,
2005-03,171465,
2005-04,174702,
2005-05,176474,
2005-06,179749,
2005-07,181578,
2005-08,184711,
2005-09,184264,
2005-10,184170,
2005-11,184247,
2005-12,186329,
2006-01,191222,
2006-02,189280,
2006-03,190360,
2006-04,191275,
2006-05,194992,
2006-06,196975,
2006-07,199329,
2006-08,201348,
2006-09,202194,
2006-10,201480,
2006-11,201961,
2006-12,203820,
2007-01,209159,
2007-02,206742,
2007-03,208193,
2007-04,210419,
2007-05,212001,
2007-06,214814,
2007-07,216828,
2007-08,218807,
2007-09,219555,
2007-10,219616,
2007-11,220491,
2007-12,222124,
2008-01,228080,
2008-02,224057,
2008-03,226269,
2008-04,228690,
2008-05,229799,
2008-06,231815,
2008-07,233238,
2008-08,235707,
2008-09,236151,
2008-10,247549,
2008-11,339943,
2008-12,334040,
2009-01,340154,
2009-02,316131,
2009-03,290138,
2009-04,278717,
2009-05,266482,
2009-06,257418,
2009-07,292768,
2009-08,314224,
2009-09,296368,
2009-10,293303,
2009-11,277731,
2009-12,269502,
2010-01,293478,
2010-02,296104,
2010-03,314293,
2010-04,318169,
2010-05,324087,
2010-06,365035,
2010-07,334722,
2010-08,289164,
2010-09,280914,
2010-10,281930,
2010-11,275534,
2010-12,275517,
2011-01,287150,
2011-02,276164,
2011-03,271169,
2011-04,270448,
2011-05,269785,
2011-06,268403,
2011-07,274780,
2011-08,281075,
2011-09,293045,
2011-10,307204,
2011-11,321798,
2011-12,331190,
2012-01,375987,
2012-02,387132,
2012-03,437291,
2012-04,504120,
2012-05,507217,
2012-06,525985,
2012-07,545191,
2012-08,511946,
2012-09,531908,
2012-10,521420,
2012-11,491537,
2012-12,474819,
2013-01,439583,
2013-02,397512,
2013-03,371148,
2013-04,355756,
2013-05,350350,
2013-06,346859,
2013-07,349351,
2013-08,343102,
2013-09,340260,
2013-10,337868,
2013-11,322523,
2013-12,310045,
2014-01,317138,
2014-02,293012,
2014-03,291071,
2014-04,289376,
2014-05,288700,
2014-06,289166,
2014-07,301037,
2014-08,299515,
2014-09,301240,
2014-10,303778,
2014-11,297986,
2014-12,297182,
2015-01,327543,
