"",BBK01.OEHL09U,BBK01.OEHL09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:30,
2002-01,1.072,
2002-04,1.041,
2002-07,1.058,
2002-10,1.098,
2003-01,1.084,
2003-04,1.044,
2003-07,1.011,
2003-10,0.953,
2004-01,0.936,
2004-04,0.922,
2004-07,0.909,
2004-10,0.970,
2005-01,0.954,
2005-04,0.950,
2005-07,0.933,
2005-10,1.098,
2006-01,1.201,
2006-04,1.189,
2006-07,1.247,
2006-10,1.268,
2007-01,1.313,
2007-04,1.362,
2007-07,1.487,
2007-10,1.530,
2008-01,1.435,
2008-04,1.463,
2008-07,1.453,
2008-10,1.584,
2009-01,1.498,
2009-04,1.404,
2009-07,1.167,
2009-10,1.308,
2010-01,1.233,
2010-04,1.175,
2010-07,1.050,
2010-10,0.905,
2011-01,0.761,
2011-04,0.766,
2011-07,0.717,
2011-10,0.690,
2012-01,0.669,
2012-04,0.650,
2012-07,0.648,
2012-10,0.640,
2013-01,0.548,
2013-04,0.498,
2013-07,0.462,
2013-10,0.454,
2014-01,0.450,
2014-04,0.465,
2014-07,0.448,
