"",BBK01.WXI061,BBK01.WXI061_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:21,
2009-09,133,
2009-10,100,
2009-11,97,
2009-12,180,
2010-01,169,
2010-02,175,
2010-03,110,
2010-04,198,
2010-05,228,
2010-06,191,
2010-07,131,
2010-08,121,
2010-09,1046,
2010-10,239,
2010-11,238,
2010-12,206,
2011-01,245,
2011-02,269,
2011-03,197,
2011-04,226,
2011-05,166,
2011-06,208,
2011-07,184,
2011-08,209,
2011-09,336,
2011-10,299,
2011-11,375,
2011-12,302,
2012-01,289,
2012-02,246,
2012-03,221,
2012-04,316,
2012-05,289,
2012-06,140,
2012-07,458,
2012-08,123,
2012-09,248,
2012-10,174,
2012-11,210,
2012-12,365,
2013-01,214,
2013-02,224,
2013-03,214,
2013-04,203,
2013-05,250,
2013-06,382,
2013-07,160,
2013-08,295,
2013-09,178,
2013-10,238,
2013-11,524,
2013-12,197,
2014-01,431,
2014-02,151,
2014-03,267,
2014-04,130,
2014-05,211,
2014-06,214,
2014-07,211,
2014-08,414,
2014-09,601,
2014-10,400,
2014-11,843,
