"",BBK01.OEAA49I,BBK01.OEAA49I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:25,
2002-01,6.981,
2002-04,7.783,
2002-07,6.629,
2002-10,6.266,
2003-01,5.971,
2003-04,4.418,
2003-07,4.425,
2003-10,3.990,
2004-01,3.989,
2004-04,3.822,
2004-07,3.874,
2004-10,3.554,
2005-01,3.691,
2005-04,3.757,
2005-07,3.999,
2005-10,3.464,
2006-01,3.474,
2006-04,3.847,
2006-07,4.916,
2006-10,4.646,
2007-01,4.907,
2007-04,5.036,
2007-07,5.384,
2007-10,6.444,
2008-01,7.032,
2008-04,8.109,
2008-07,8.688,
2008-10,8.875,
2009-01,9.248,
2009-04,9.234,
2009-07,9.543,
2009-10,10.218,
2010-01,10.270,
2010-04,11.236,
2010-07,10.924,
2010-10,11.947,
2011-01,12.371,
2011-04,12.821,
2011-07,14.054,
2011-10,16.599,
2012-01,16.826,
2012-04,14.700,
2012-07,14.262,
2012-10,13.695,
2013-01,13.268,
2013-04,13.089,
2013-07,13.285,
2013-10,13.453,
2014-01,13.192,
2014-04,12.940,
2014-07,12.545,
