"",BBK01.OEAF18O,BBK01.OEAF18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:59,
2002-01,0.063,
2002-04,0.063,
2002-07,0.077,
2002-10,0.065,
2003-01,0.055,
2003-04,0.051,
2003-07,0.042,
2003-10,0.055,
2004-01,0.051,
2004-04,0.047,
2004-07,0.051,
2004-10,0.061,
2005-01,0.043,
2005-04,0.031,
2005-07,0.034,
2005-10,0.032,
2006-01,0.032,
2006-04,0.034,
2006-07,0.038,
2006-10,0.040,
2007-01,0.033,
2007-04,0.032,
2007-07,0.031,
2007-10,0.028,
2008-01,0.022,
2008-04,0.017,
2008-07,0.018,
2008-10,0.021,
2009-01,0.022,
2009-04,0.018,
2009-07,0.017,
2009-10,0.021,
2010-01,0.023,
2010-04,0.018,
2010-07,0.021,
2010-10,0.024,
2011-01,0.019,
2011-04,0.021,
2011-07,0.019,
2011-10,0.022,
2012-01,0.019,
2012-04,0.017,
2012-07,0.017,
2012-10,0.029,
2013-01,0.020,
2013-04,0.023,
2013-07,0.021,
2013-10,0.023,
2014-01,0.018,
2014-04,0.016,
2014-07,0.017,
