"",BBK01.OEXJ01Q,BBK01.OEXJ01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:26,
2002-01,0.819,
2002-04,0.811,
2002-07,0.799,
2002-10,0.893,
2003-01,0.799,
2003-04,0.808,
2003-07,0.781,
2003-10,0.799,
2004-01,0.726,
2004-04,0.715,
2004-07,0.697,
2004-10,0.240,
2005-01,0.212,
2005-04,0.209,
2005-07,0.244,
2005-10,0.244,
2006-01,0.231,
2006-04,0.282,
2006-07,0.255,
2006-10,0.261,
2007-01,0.287,
2007-04,0.306,
2007-07,0.310,
2007-10,0.304,
2008-01,0.322,
2008-04,0.345,
2008-07,0.318,
2008-10,0.330,
2009-01,0.315,
2009-04,0.314,
2009-07,0.334,
2009-10,0.357,
2010-01,0.386,
2010-04,0.370,
2010-07,0.374,
2010-10,0.368,
2011-01,0.373,
2011-04,0.378,
2011-07,0.393,
2011-10,0.423,
2012-01,0.399,
2012-04,0.406,
2012-07,0.491,
2012-10,0.534,
2013-01,0.434,
2013-04,0.468,
2013-07,0.471,
2013-10,0.487,
2014-01,0.501,
2014-04,0.514,
2014-07,0.539,
