"",BBK01.OEXJ01M,BBK01.OEXJ01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:24,
2002-01,3.422,
2002-04,3.171,
2002-07,4.364,
2002-10,3.561,
2003-01,4.137,
2003-04,4.502,
2003-07,4.499,
2003-10,4.783,
2004-01,4.975,
2004-04,4.898,
2004-07,6.297,
2004-10,6.995,
2005-01,5.309,
2005-04,5.042,
2005-07,5.405,
2005-10,4.996,
2006-01,4.857,
2006-04,5.210,
2006-07,4.672,
2006-10,4.715,
2007-01,4.603,
2007-04,4.946,
2007-07,4.527,
2007-10,4.908,
2008-01,4.925,
2008-04,5.526,
2008-07,5.056,
2008-10,8.814,
2009-01,9.396,
2009-04,9.597,
2009-07,9.477,
2009-10,9.614,
2010-01,9.259,
2010-04,9.461,
2010-07,9.115,
2010-10,9.797,
2011-01,9.644,
2011-04,9.599,
2011-07,9.891,
2011-10,11.953,
2012-01,11.449,
2012-04,13.290,
2012-07,14.358,
2012-10,14.281,
2013-01,13.934,
2013-04,15.040,
2013-07,13.558,
2013-10,12.879,
2014-01,13.149,
2014-04,16.408,
2014-07,14.472,
