"",BBEX3.M.JPY.USD.CA.AA.A01,BBEX3.M.JPY.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Japan / USD 1 = JPY ... (buying),
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:19,
1989-01,128.55,
1989-02,126.15,
1989-03,131.20,
1989-04,131.50,
1989-05,141.85,
1989-06,143.30,
1989-07,138.00,
1989-08,143.30,
1989-09,139.20,
1989-10,141.35,
1989-11,141.95,
1989-12,142.55,
1990-01,143.25,
1990-02,147.80,
1990-03,157.00,
1990-04,158.30,
1990-05,150.60,
1990-06,151.90,
1990-07,146.70,
1990-08,143.45,
1990-09,137.05,
1990-10,128.40,
1990-11,132.40,
1990-12,133.60,
1991-01,130.15,
1991-02,131.20,
1991-03,139.95,
1991-04,136.40,
1991-05,136.85,
1991-06,136.75,
1991-07,136.80,
1991-08,136.15,
1991-09,131.85,
1991-10,129.85,
1991-11,129.05,
1991-12,124.25,
1992-01,124.90,
1992-02,128.30,
1992-03,131.85,
1992-04,132.50,
1992-05,128.05,
1992-06,124.45,
1992-07,126.65,
1992-08,121.90,
1992-09,117.80,
1992-10,122.25,
1992-11,123.75,
1992-12,123.70,
1993-01,123.65,
1993-02,116.75,
1993-03,115.30,
1993-04,110.20,
1993-05,106.35,
1993-06,105.65,
1993-07,105.15,
1993-08,103.20,
1993-09,104.15,
1993-10,107.20,
1993-11,107.95,
1993-12,111.00,
1994-01,108.90,
1994-02,103.20,
1994-03,102.15,
1994-04,101.55,
1994-05,103.50,
1994-06,97.80,
1994-07,98.80,
1994-08,98.60,
1994-09,97.45,
1994-10,96.45,
1994-11,98.00,
1994-12,98.85,
1995-01,97.55,
1995-02,96.10,
1995-03,88.35,
1995-04,82.75,
1995-05,82.25,
1995-06,83.65,
1995-07,87.45,
1995-08,98.15,
1995-09,98.10,
1995-10,100.80,
1995-11,100.65,
1995-12,101.95,
1996-01,106.30,
1996-02,103.85,
1996-03,105.35,
1996-04,103.85,
1996-05,106.85,
1996-06,108.50,
1996-07,106.95,
1996-08,107.50,
1996-09,110.00,
1996-10,112.95,
1996-11,112.85,
1996-12,115.10,
1997-01,121.10,
1997-02,119.85,
1997-03,123.10,
1997-04,125.90,
1997-05,115.55,
1997-06,113.35,
1997-07,117.45,
1997-08,118.45,
1997-09,120.10,
1997-10,119.10,
1997-11,126.20,
1997-12,129.10,
1998-01,126.25,
1998-02,126.15,
1998-03,131.10,
1998-04,131.40,
1998-05,138.00,
1998-06,140.00,
1998-07,142.85,
1998-08,140.40,
1998-09,134.35,
1998-10,115.50,
1998-11,122.45,
1998-12,114.70,
1999-01,115.35,
1999-02,118.55,
1999-03,119.55,
1999-04,118.35,
1999-05,120.45,
1999-06,120.10,
1999-07,114.85,
1999-08,109.85,
1999-09,105.95,
1999-10,104.00,
1999-11,101.45,
1999-12,101.40,
2000-01,106.00,
2000-02,108.90,
2000-03,105.15,
2000-04,105.70,
2000-05,105.40,
2000-06,104.50,
2000-07,108.65,
2000-08,105.65,
2000-09,107.00,
2000-10,108.05,
2000-11,110.25,
2000-12,113.75,
2001-01,115.05,
2001-02,115.40,
2001-03,122.90,
2001-04,122.55,
2001-05,119.25,
2001-06,123.60,
2001-07,124.10,
2001-08,118.25,
2001-09,118.40,
2001-10,121.10,
2001-11,123.00,
2001-12,130.95,
2002-01,131.90,
2002-02,133.35,
2002-03,132.25,
2002-04,127.35,
2002-05,122.45,
2002-06,118.50,
2002-07,119.10,
2002-08,116.95,
2002-09,121.60,
2002-10,122.20,
2002-11,121.40,
2002-12,118.90,
2003-01,118.05,
2003-02,116.75,
2003-03,119.20,
2003-04,118.65,
2003-05,117.30,
2003-06,118.80,
2003-07,119.20,
2003-08,116.15,
2003-09,110.25,
2003-10,107.80,
2003-11,108.45,
2003-12,106.13,
2004-01,105.08,
2004-02,108.62,
2004-03,104.69,
2004-04,109.35,
2004-05,109.82,
2004-06,107.43,
2004-07,111.12,
2004-08,108.88,
2004-09,110.05,
2004-10,105.18,
2004-11,102.18,
2004-12,103.21,
2005-01,102.61,
2005-02,103.74,
2005-03,106.39,
2005-04,105.35,
2005-05,107.11,
2005-06,109.62,
2005-07,111.47,
2005-08,110.40,
2005-09,112.19,
2005-10,114.75,
2005-11,118.68,
2005-12,117.07,
2006-01,116.75,
2006-02,115.27,
2006-03,116.47,
2006-04,113.40,
2006-05,111.26,
2006-06,114.24,
2006-07,113.85,
2006-08,116.31,
2006-09,116.90,
