"",BBK01.OEAC58M,BBK01.OEAC58M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:56,
2002-01,4.521,
2002-04,4.519,
2002-07,4.527,
2002-10,4.558,
2003-01,4.659,
2003-04,4.787,
2003-07,2.926,
2003-10,2.967,
2004-01,2.977,
2004-04,3.021,
2004-07,2.641,
2004-10,1.885,
2005-01,1.875,
2005-04,1.849,
2005-07,1.826,
2005-10,1.836,
2006-01,1.824,
2006-04,1.855,
2006-07,1.835,
2006-10,1.881,
2007-01,1.870,
2007-04,1.859,
2007-07,1.826,
2007-10,1.828,
2008-01,1.814,
2008-04,1.808,
2008-07,1.844,
2008-10,1.913,
2009-01,1.974,
2009-04,2.193,
2009-07,2.441,
2009-10,2.563,
2010-01,2.537,
2010-04,2.942,
2010-07,3.021,
2010-10,2.810,
2011-01,2.801,
2011-04,2.848,
2011-07,2.866,
2011-10,2.907,
2012-01,2.893,
2012-04,3.230,
2012-07,3.295,
2012-10,3.439,
2013-01,3.318,
2013-04,3.382,
2013-07,3.462,
2013-10,3.487,
2014-01,3.510,
2014-04,3.585,
2014-07,3.666,
