"",BBK01.OEAE25K,BBK01.OEAE25K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:59,
2002-01,0.141,
2002-04,0.139,
2002-07,0.130,
2002-10,0.149,
2003-01,0.155,
2003-04,0.145,
2003-07,0.149,
2003-10,0.127,
2004-01,0.111,
2004-04,0.116,
2004-07,0.121,
2004-10,0.120,
2005-01,0.097,
2005-04,0.096,
2005-07,0.084,
2005-10,0.077,
2006-01,0.072,
2006-04,0.069,
2006-07,0.068,
2006-10,0.090,
2007-01,0.090,
2007-04,0.130,
2007-07,0.134,
2007-10,0.132,
2008-01,0.179,
2008-04,0.173,
2008-07,0.150,
2008-10,0.146,
2009-01,0.174,
2009-04,0.169,
2009-07,0.073,
2009-10,0.070,
2010-01,0.077,
2010-04,0.102,
2010-07,0.152,
2010-10,0.146,
2011-01,0.143,
2011-04,0.152,
2011-07,0.153,
2011-10,0.151,
2012-01,0.143,
2012-04,0.197,
2012-07,0.194,
2012-10,0.151,
2013-01,0.167,
2013-04,0.173,
2013-07,0.156,
2013-10,0.145,
2014-01,0.146,
2014-04,0.138,
2014-07,0.143,
