"",BBK01.OEXB01G,BBK01.OEXB01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:52,
2002-01,70.893,
2002-04,76.736,
2002-07,77.316,
2002-10,77.653,
2003-01,76.001,
2003-04,78.066,
2003-07,77.891,
2003-10,79.191,
2004-01,78.577,
2004-04,80.256,
2004-07,80.609,
2004-10,84.220,
2005-01,38.767,
2005-04,38.762,
2005-07,21.514,
2005-10,21.944,
2006-01,22.038,
2006-04,22.247,
2006-07,22.419,
2006-10,21.188,
2007-01,21.475,
2007-04,21.983,
2007-07,22.394,
2007-10,22.636,
2008-01,23.475,
2008-04,24.107,
2008-07,24.414,
2008-10,24.882,
2009-01,25.636,
2009-04,29.102,
2009-07,28.761,
2009-10,29.213,
2010-01,28.620,
2010-04,28.749,
2010-07,29.328,
2010-10,29.989,
2011-01,29.448,
2011-04,29.931,
2011-07,30.546,
2011-10,31.508,
2012-01,31.396,
2012-04,31.701,
2012-07,31.943,
2012-10,32.186,
2013-01,31.424,
2013-04,31.779,
2013-07,31.718,
2013-10,32.641,
2014-01,32.937,
2014-04,33.052,
2014-07,33.315,
