"",BBEX3.M.KHR.USD.CA.AC.A01,BBEX3.M.KHR.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Cambodia / USD 1 = KHR ... (middle),
unit,KHR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:30,
1985-12,30.150,
1986-01,30.150,
1986-02,30.150,
1986-03,30.150,
1986-04,30.150,
1986-05,30.150,
1986-06,30.150,
1986-07,30.150,
1986-08,30.150,
1986-09,30.150,
1986-10,30.150,
1986-11,30.150,
1986-12,30.150,
1987-01,30.150,
1987-02,30.150,
1987-03,30.150,
1987-04,30.150,
1987-05,30.150,
1987-06,30.150,
1987-07,30.150,
1987-08,30.150,
1987-09,100.500,comment
1987-10,100.500,
1987-11,100.500,
1987-12,100.500,
1988-01,100.500,
1988-02,100.500,
1988-03,100.500,
1988-04,100.500,
1988-05,100.500,
1988-06,100.500,
1988-07,100.500,
1988-08,100.500,
1988-09,100.500,
1988-10,143.500,comment
1988-11,143.500,
1988-12,151.500,
1989-01,151.500,
1989-02,151.500,
1989-03,151.500,
1989-04,151.500,
1989-05,151.500,
1989-06,151.500,
1989-07,191.900,
1989-08,191.900,
1989-09,191.900,
1989-10,218.195,
1989-11,218.195,
1989-12,218.195,
1990-01,363.600,
1990-02,363.600,
1990-03,363.600,
1990-04,383.800,
1990-05,383.800,
1990-06,383.800,
1990-07,383.800,
1990-08,515.010,comment
1990-09,515.010,
1990-10,606.000,comment
1990-11,606.000,
1990-12,606.000,
1991-01,606.000,
1991-02,606.000,
1991-03,606.000,
1991-04,606.000,
1991-05,606.000,
1991-06,606.000,
1991-07,808.000,comment
1991-08,808.000,
1991-09,1010.000,comment
1991-10,1010.000,
1991-11,808.000,
1991-12,525.200,
1992-01,747.400,
1992-02,747.400,
1992-03,888.800,
1992-04,858.500,
1992-05,1010.000,
1992-06,1010.000,
1992-07,1201.900,
1992-08,1444.300,
1992-09,1444.300,
1992-10,2020.000,
1992-11,2020.000,
1992-12,2020.000,
1993-01,2206.500,
1993-02,2398.500,
1993-03,2398.500,
1993-04,3838.000,
1993-05,4040.000,
1993-06,2727.000,
1993-07,2727.000,
1993-08,2599.740,
1993-09,2643.170,
1993-10,2661.350,
1993-11,2222.000,
1993-12,2413.900,
1994-01,2504.800,
1994-02,2494.700,
1994-03,2504.800,
1994-04,2535.000,
1994-05,2590.500,
1994-06,2540.000,
1994-07,2545.150,
1994-08,2605.800,
1994-09,2631.050,
1994-10,2727.000,
1994-11,2631.050,
1994-12,2600.750,
1995-01,2600.750,
1995-02,2626.000,
1995-03,2424.000,
1995-04,2316.940,
1995-05,2323.000,
1995-06,2364.410,
1995-07,2446.220,
1995-08,2486.620,
1995-09,2520.960,
1995-10,2544.190,
1995-11,2544.190,
1995-12,2551.260,
1996-01,2574.490,
1996-02,2574.490,
1996-03,2583.580,
1996-04,2589.000,
1996-05,2593.000,
1996-06,2632.000,
1996-07,2683.350,
1996-08,2678.325,
1996-09,2700.435,
1996-10,2728.010,
1996-11,2718.920,
1996-12,2740.130,
1997-01,2759.320,
1997-02,2770.430,
1997-03,2762.350,
1997-04,2771.440,
1997-05,2778.510,
1997-06,2788.610,
1997-07,2929.000,
1997-08,3030.000,
1997-09,3223.920,
1997-10,3443.090,
1997-11,3436.020,
1997-12,3486.520,
1998-01,3625.900,
1998-02,3590.550,
1998-03,3615.800,
1998-04,3691.550,
1998-05,4055.150,
1998-06,4034.950,
1998-07,3984.450,
1998-08,3767.300,
1998-09,3838.000,
1998-10,3908.700,
1998-11,3812.750,
1998-12,3807.700,
1999-01,3783.000,
1999-02,3785.000,
1999-03,3795.000,
1999-04,3795.000,
1999-05,3805.000,
1999-06,3805.000,
1999-07,3825.000,
1999-08,3875.000,
1999-09,3900.000,
1999-10,3830.000,
1999-11,3800.000,
1999-12,3775.000,
2000-01,3800.000,
2000-02,3825.000,
2000-03,3820.000,
2000-04,3830.000,
2000-05,3860.000,
2000-06,3865.000,
2000-07,3880.000,
2000-08,3900.000,
2000-09,3890.000,
2000-10,3890.000,
2000-11,3890.000,
2000-12,3910.000,
2001-01,3915.000,
2001-02,3915.000,
2001-03,3915.000,
2001-04,3920.000,
2001-05,3925.000,
2001-06,3920.000,
2001-07,3930.000,
2001-08,3930.000,
2001-09,3945.000,
2001-10,3945.000,
2001-11,3930.000,
2001-12,3900.000,
2002-01,3900.000,
2002-02,3910.000,
2002-03,3900.000,
2002-04,3905.000,
2002-05,3910.000,
2002-06,3920.000,
2002-07,3915.000,
2002-08,3925.000,
2002-09,3950.000,
2002-10,3940.000,
2002-11,3935.000,
2002-12,3935.000,
2003-01,3940.000,
2003-02,3940.000,
2003-03,3945.000,
2003-04,3960.000,
2003-05,4005.000,
2003-06,3990.000,
2003-07,3985.000,
2003-08,4025.000,
2003-09,4005.000,
2003-10,4000.000,
2003-11,3990.000,
2003-12,3980.000,
2004-01,3990.000,
2004-02,3996.000,
2004-03,3991.000,
2004-04,4002.000,
2004-05,4029.000,
2004-06,4024.000,
2004-07,4029.000,
2004-08,4054.000,
2004-09,4054.000,
2004-10,4054.000,
2004-11,4021.000,
2004-12,4031.000,
2005-01,4034.000,
2005-02,4034.000,
2005-03,4031.000,
2005-04,4046.000,
2005-05,4071.000,
2005-06,4106.000,
2005-07,4201.000,
