"",BBK01.OELK03H,BBK01.OELK03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:23,
2002-01,2.487,
2002-04,2.418,
2002-07,2.387,
2002-10,2.414,
2003-01,2.396,
2003-04,2.216,
2003-07,2.139,
2003-10,2.132,
2004-01,2.057,
2004-04,1.947,
2004-07,1.902,
2004-10,1.902,
2005-01,1.851,
2005-04,1.795,
2005-07,1.757,
2005-10,1.767,
2006-01,1.816,
2006-04,1.806,
2006-07,1.863,
2006-10,1.995,
2007-01,2.069,
2007-04,2.140,
2007-07,2.243,
2007-10,2.419,
2008-01,2.543,
2008-04,2.626,
2008-07,2.729,
2008-10,3.269,
2009-01,2.829,
2009-04,2.285,
2009-07,1.964,
2009-10,1.863,
2010-01,1.734,
2010-04,1.626,
2010-07,1.581,
2010-10,1.633,
2011-01,1.599,
2011-04,1.512,
2011-07,1.522,
2011-10,1.545,
2012-01,1.493,
2012-04,1.421,
2012-07,1.325,
2012-10,1.250,
2013-01,1.180,
2013-04,1.090,
2013-07,1.044,
2013-10,1.015,
2014-01,0.989,
2014-04,0.955,
2014-07,0.934,
