"",BBK01.OEAA30G,BBK01.OEAA30G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:32,
2002-01,5.718,
2002-04,6.816,
2002-07,6.712,
2002-10,6.675,
2003-01,6.480,
2003-04,6.273,
2003-07,6.385,
2003-10,6.610,
2004-01,6.610,
2004-04,6.560,
2004-07,6.400,
2004-10,6.677,
2005-01,6.313,
2005-04,6.368,
2005-07,6.327,
2005-10,6.295,
2006-01,6.172,
2006-04,6.134,
2006-07,6.015,
2006-10,5.381,
2007-01,5.360,
2007-04,5.359,
2007-07,5.426,
2007-10,5.491,
2008-01,5.474,
2008-04,5.471,
2008-07,5.407,
2008-10,5.377,
2009-01,5.227,
2009-04,5.229,
2009-07,5.235,
2009-10,5.261,
2010-01,5.197,
2010-04,5.226,
2010-07,5.299,
2010-10,5.305,
2011-01,5.398,
2011-04,5.466,
2011-07,5.543,
2011-10,5.602,
2012-01,5.561,
2012-04,5.751,
2012-07,5.731,
2012-10,5.771,
2013-01,5.673,
2013-04,5.686,
2013-07,5.664,
2013-10,5.628,
2014-01,5.574,
2014-04,5.541,
2014-07,5.543,
