"",BBEX3.M.MYR.USD.CA.AA.A01,BBEX3.M.MYR.USD.CA.AA.A01_FLAGS
2013-01,3.0501,
2013-02,3.0550,
2013-03,3.0605,
2013-04,2.9957,
2013-05,3.0347,
2013-06,3.1416,
2013-07,3.2098,
2013-08,3.2597,
2013-09,3.2192,
2013-10,3.1228,
2013-11,3.1960,
2013-12,3.2538,
2014-01,3.3092,
2014-02,3.2385,
2014-03,3.2266,
2014-04,3.2236,
2014-05,3.1782,
2014-06,3.1762,
2014-07,3.1534,
2014-08,3.1238,
2014-09,3.2410,
2014-10,3.2469,
2014-11,3.3255,
2014-12,3.4556,
2015-01,3.5930,
"","Source: Since January 2004 The Hongkong and Shanghai Banking Corporation (HSBC Bank), Kuala Lumpur March 1995 - December 2003 The Hongkong Bank Malaysia Berhad, Kuala Lumpur 1990 - February 1995 The Hongkong and Shanghai Banking Corporation (HSBC Bank), Kuala Lumpur",
"",Comment on 2010-02: Exchange rate as of 1 March 2010.,
