"",BBK01.OEAC45H,BBK01.OEAC45H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:19,
2002-01,1.217,
2002-04,1.192,
2002-07,1.165,
2002-10,1.123,
2003-01,1.085,
2003-04,1.042,
2003-07,1.022,
2003-10,1.025,
2004-01,1.001,
2004-04,0.987,
2004-07,0.971,
2004-10,0.959,
2005-01,0.858,
2005-04,0.878,
2005-07,0.856,
2005-10,0.860,
2006-01,0.816,
2006-04,0.843,
2006-07,0.844,
2006-10,0.947,
2007-01,0.860,
2007-04,0.855,
2007-07,0.849,
2007-10,0.751,
2008-01,0.734,
2008-04,0.715,
2008-07,0.700,
2008-10,0.690,
2009-01,0.709,
2009-04,0.671,
2009-07,0.681,
2009-10,0.671,
2010-01,0.660,
2010-04,0.676,
2010-07,0.701,
2010-10,0.696,
2011-01,0.715,
2011-04,0.703,
2011-07,0.687,
2011-10,0.694,
2012-01,0.695,
2012-04,0.714,
2012-07,0.743,
2012-10,0.734,
2013-01,0.778,
2013-04,0.786,
2013-07,0.780,
2013-10,0.772,
2014-01,0.762,
2014-04,0.773,
2014-07,0.788,
