"",BBSF2.M.1.S.00000.REN01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.S.00000.REN01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Special investors funds / Bonds funds / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:40,
2009-09,184433,
2009-10,184951,
2009-11,188389,
2009-12,191805,
2010-01,196700,
2010-02,199499,
2010-03,203547,
2010-04,204759,
2010-05,205674,
2010-06,204701,
2010-07,205188,
2010-08,211959,
2010-09,213390,
2010-10,214496,
2010-11,211658,
2010-12,209147,
2011-01,207381,
2011-02,210327,
2011-03,209506,
2011-04,207518,
2011-05,208113,
2011-06,207230,
2011-07,208310,
2011-08,208829,
2011-09,207608,
2011-10,209406,
2011-11,204249,
2011-12,213414,
2012-01,218603,
2012-02,223424,
2012-03,227363,
2012-04,227552,
2012-05,232331,
2012-06,231570,
2012-07,238901,
2012-08,243696,
2012-09,244283,
2012-10,246824,
2012-11,249094,
2012-12,252640,
2013-01,251017,
2013-02,250294,
2013-03,253427,
2013-04,258770,
2013-05,255998,
2013-06,248468,
2013-07,250905,
2013-08,249126,
2013-09,250473,
2013-10,253576,
2013-11,259699,
2013-12,259017,
2014-01,264019,
2014-02,267997,
2014-03,276551,
2014-04,273733,
2014-05,279564,
2014-06,281484,
2014-07,286991,
2014-08,293182,
2014-09,293466,
2014-10,294797,
2014-11,297933,
