"",BBK01.OEAC45S,BBK01.OEAC45S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:24,
2002-01,0.050,
2002-04,0.050,
2002-07,0.048,
2002-10,0.046,
2003-01,0.046,
2003-04,0.046,
2003-07,0.047,
2003-10,0.047,
2004-01,0.045,
2004-04,0.044,
2004-07,0.041,
2004-10,0.040,
2005-01,0.039,
2005-04,0.039,
2005-07,0.031,
2005-10,0.031,
2006-01,0.031,
2006-04,0.029,
2006-07,0.027,
2006-10,0.027,
2007-01,0.031,
2007-04,0.031,
2007-07,0.027,
2007-10,0.022,
2008-01,0.022,
2008-04,0.021,
2008-07,0.022,
2008-10,0.022,
2009-01,0.022,
2009-04,0.020,
2009-07,0.020,
2009-10,0.019,
2010-01,0.019,
2010-04,0.020,
2010-07,0.019,
2010-10,0.030,
2011-01,0.029,
2011-04,0.028,
2011-07,0.029,
2011-10,0.032,
2012-01,0.032,
2012-04,0.032,
2012-07,0.031,
2012-10,0.030,
2013-01,0.030,
2013-04,0.031,
2013-07,0.030,
2013-10,0.032,
2014-01,0.030,
2014-04,0.032,
2014-07,0.031,
