"",BBK01.OEYM03I,BBK01.OEYM03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:43,
2002-01,6.838,
2002-04,7.039,
2002-07,7.025,
2002-10,6.950,
2003-01,7.338,
2003-04,7.109,
2003-07,6.623,
2003-10,6.933,
2004-01,6.922,
2004-04,7.513,
2004-07,7.833,
2004-10,7.526,
2005-01,7.611,
2005-04,7.823,
2005-07,7.598,
2005-10,7.445,
2006-01,7.942,
2006-04,7.837,
2006-07,7.303,
2006-10,7.632,
2007-01,7.082,
2007-04,6.715,
2007-07,8.954,
2007-10,6.793,
2008-01,6.942,
2008-04,7.258,
2008-07,7.408,
2008-10,6.934,
2009-01,7.052,
2009-04,7.212,
2009-07,7.002,
2009-10,6.819,
2010-01,7.452,
2010-04,7.798,
2010-07,7.311,
2010-10,6.791,
2011-01,6.810,
2011-04,7.060,
2011-07,8.465,
2011-10,7.990,
2012-01,8.230,
2012-04,9.012,
2012-07,8.236,
2012-10,9.475,
2013-01,9.080,
2013-04,10.128,
2013-07,10.470,
2013-10,9.773,
2014-01,9.869,
2014-04,10.790,
2014-07,10.877,
