"",BBK01.OEHO06N,BBK01.OEHO06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:24,
2002-01,75.156,
2002-04,74.591,
2002-07,74.312,
2002-10,75.557,
2003-01,75.534,
2003-04,74.926,
2003-07,74.149,
2003-10,74.690,
2004-01,74.388,
2004-04,74.006,
2004-07,73.367,
2004-10,73.959,
2005-01,73.762,
2005-04,73.126,
2005-07,73.159,
2005-10,73.841,
2006-01,74.465,
2006-04,74.036,
2006-07,73.095,
2006-10,72.855,
2007-01,71.104,
2007-04,69.203,
2007-07,67.695,
2007-10,67.369,
2008-01,66.377,
2008-04,65.110,
2008-07,63.623,
2008-10,64.614,
2009-01,65.970,
2009-04,67.143,
2009-07,68.456,
2009-10,70.553,
2010-01,72.066,
2010-04,72.528,
2010-07,72.669,
2010-10,73.471,
2011-01,73.582,
2011-04,73.243,
2011-07,72.632,
2011-10,72.647,
2012-01,72.242,
2012-04,72.057,
2012-07,71.956,
2012-10,72.489,
2013-01,72.792,
2013-04,72.890,
2013-07,72.654,
2013-10,73.066,
2014-01,73.106,
2014-04,72.774,
2014-07,72.552,
