"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.FR.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.FR.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / France / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:01,
2009-09,17747,
2009-10,17206,
2009-11,19563,
2009-12,19829,
2010-01,20690,
2010-02,21118,
2010-03,21176,
2010-04,21270,
2010-05,22253,
2010-06,22920,
2010-07,23263,
2010-08,23962,
2010-09,24372,
2010-10,24752,
2010-11,24849,
2010-12,24631,
2011-01,24411,
2011-02,24761,
2011-03,25077,
2011-04,24889,
2011-05,25351,
2011-06,25269,
2011-07,25979,
2011-08,25670,
2011-09,25211,
2011-10,25272,
2011-11,24518,
2011-12,25024,
2012-01,26735,
2012-02,28132,
2012-03,28917,
2012-04,28942,
2012-05,29333,
2012-06,29535,
2012-07,30178,
2012-08,30638,
2012-09,30844,
2012-10,30909,
2012-11,31241,
2012-12,31639,
2013-01,31103,
2013-02,31170,
2013-03,31454,
2013-04,32034,
2013-05,32066,
2013-06,30709,
2013-07,30863,
2013-08,30611,
2013-09,30595,
2013-10,30778,
2013-11,31112,
2013-12,30619,
2014-01,30729,
2014-02,30667,
2014-03,31402,
2014-04,31749,
2014-05,32314,
2014-06,32277,
2014-07,32477,
2014-08,32739,
2014-09,32874,
2014-10,32758,
2014-11,32505,
