"",BBK01.OEXM01N,BBK01.OEXM01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:31,
2002-01,1.481,
2002-04,1.515,
2002-07,1.533,
2002-10,1.615,
2003-01,1.281,
2003-04,1.495,
2003-07,1.189,
2003-10,1.575,
2004-01,1.248,
2004-04,1.226,
2004-07,1.006,
2004-10,0.391,
2005-01,0.460,
2005-04,0.397,
2005-07,0.400,
2005-10,0.409,
2006-01,0.516,
2006-04,0.592,
2006-07,0.681,
2006-10,0.609,
2007-01,0.645,
2007-04,0.544,
2007-07,0.653,
2007-10,0.665,
2008-01,0.929,
2008-04,1.051,
2008-07,1.789,
2008-10,1.563,
2009-01,1.914,
2009-04,2.095,
2009-07,1.831,
2009-10,1.952,
2010-01,1.474,
2010-04,2.182,
2010-07,2.514,
2010-10,2.606,
2011-01,2.932,
2011-04,3.081,
2011-07,4.467,
2011-10,3.525,
2012-01,3.714,
2012-04,4.512,
2012-07,4.428,
2012-10,10.886,
2013-01,8.471,
2013-04,8.045,
2013-07,8.538,
2013-10,7.249,
2014-01,8.174,
2014-04,7.135,
2014-07,6.050,
