"",BBK01.OEAF35T,BBK01.OEAF35T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:14,
2002-01,1.304,
2002-04,1.340,
2002-07,1.357,
2002-10,1.383,
2003-01,1.367,
2003-04,1.381,
2003-07,1.365,
2003-10,1.347,
2004-01,1.395,
2004-04,1.414,
2004-07,1.420,
2004-10,1.400,
2005-01,1.370,
2005-04,1.376,
2005-07,1.353,
2005-10,1.345,
2006-01,1.319,
2006-04,1.330,
2006-07,1.337,
2006-10,1.327,
2007-01,1.325,
2007-04,1.330,
2007-07,1.367,
2007-10,1.375,
2008-01,1.382,
2008-04,1.424,
2008-07,1.451,
2008-10,1.465,
2009-01,1.485,
2009-04,1.506,
2009-07,1.481,
2009-10,1.797,
2010-01,2.628,
2010-04,1.499,
2010-07,1.522,
2010-10,1.529,
2011-01,1.504,
2011-04,1.510,
2011-07,1.555,
2011-10,1.576,
2012-01,1.591,
2012-04,1.602,
2012-07,1.607,
2012-10,1.586,
2013-01,1.573,
2013-04,1.543,
2013-07,1.554,
2013-10,1.550,
2014-01,1.553,
2014-04,1.586,
2014-07,1.601,
