"",BBK01.OEHK06M,BBK01.OEHK06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:58,
2002-01,0.144,
2002-04,0.136,
2002-07,0.129,
2002-10,0.127,
2003-01,0.125,
2003-04,0.127,
2003-07,0.125,
2003-10,0.125,
2004-01,0.119,
2004-04,0.118,
2004-07,0.113,
2004-10,0.114,
2005-01,0.107,
2005-04,0.110,
2005-07,0.107,
2005-10,0.115,
2006-01,0.122,
2006-04,0.132,
2006-07,0.144,
2006-10,0.159,
2007-01,0.193,
2007-04,0.211,
2007-07,0.235,
2007-10,0.266,
2008-01,0.307,
2008-04,0.317,
2008-07,0.334,
2008-10,0.367,
2009-01,0.319,
2009-04,0.270,
2009-07,0.242,
2009-10,0.218,
2010-01,0.219,
2010-04,0.221,
2010-07,0.217,
2010-10,0.215,
2011-01,0.212,
2011-04,0.229,
2011-07,0.233,
2011-10,0.229,
2012-01,0.215,
2012-04,0.195,
2012-07,0.184,
2012-10,0.172,
2013-01,0.134,
2013-04,0.121,
2013-07,0.112,
2013-10,0.111,
2014-01,0.106,
2014-04,0.109,
2014-07,0.101,
