"",BBK01.OELI04M,BBK01.OELI04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:46,
2002-01,4.678,
2002-04,4.638,
2002-07,4.553,
2002-10,4.672,
2003-01,4.478,
2003-04,4.335,
2003-07,4.236,
2003-10,4.393,
2004-01,4.060,
2004-04,3.945,
2004-07,3.952,
2004-10,4.227,
2005-01,3.779,
2005-04,3.764,
2005-07,3.780,
2005-10,4.267,
2006-01,4.069,
2006-04,4.027,
2006-07,4.063,
2006-10,4.541,
2007-01,4.484,
2007-04,4.669,
2007-07,4.825,
2007-10,5.321,
2008-01,5.657,
2008-04,5.945,
2008-07,6.201,
2008-10,6.932,
2009-01,6.492,
2009-04,5.746,
2009-07,5.235,
2009-10,4.934,
2010-01,4.467,
2010-04,4.069,
2010-07,4.068,
2010-10,4.068,
2011-01,4.066,
2011-04,4.111,
2011-07,4.177,
2011-10,4.520,
2012-01,4.420,
2012-04,4.323,
2012-07,4.233,
2012-10,3.953,
2013-01,3.769,
2013-04,3.667,
2013-07,3.508,
2013-10,3.365,
2014-01,3.319,
2014-04,3.155,
2014-07,3.110,
