"",BBK01.OELI01G,BBK01.OELI01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:26,
2002-01,78.337,
2002-04,78.245,
2002-07,78.411,
2002-10,80.625,
2003-01,79.751,
2003-04,79.525,
2003-07,79.021,
2003-10,81.091,
2004-01,80.800,
2004-04,81.405,
2004-07,81.195,
2004-10,81.468,
2005-01,80.864,
2005-04,81.492,
2005-07,81.155,
2005-10,82.894,
2006-01,82.442,
2006-04,82.991,
2006-07,82.863,
2006-10,84.341,
2007-01,83.969,
2007-04,84.535,
2007-07,84.986,
2007-10,88.083,
2008-01,87.084,
2008-04,87.577,
2008-07,87.597,
2008-10,92.896,
2009-01,93.081,
2009-04,94.231,
2009-07,94.308,
2009-10,97.058,
2010-01,98.579,
2010-04,99.976,
2010-07,100.626,
2010-10,102.499,
2011-01,102.273,
2011-04,103.314,
2011-07,104.469,
2011-10,106.773,
2012-01,106.239,
2012-04,106.901,
2012-07,108.225,
2012-10,110.260,
2013-01,110.464,
2013-04,111.272,
2013-07,112.376,
2013-10,114.282,
2014-01,114.039,
2014-04,115.999,
2014-07,116.892,
