"",BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:35,
1991-01,-140.670,
1991-04,-186.465,
1991-07,1124.845,
1991-10,838.668,
1992-01,1272.710,
1992-04,-16.605,
1992-07,2132.758,
1992-10,746.071,
1993-01,1217.296,
1993-04,431.792,
1993-07,1174.200,
1993-10,3030.187,
1994-01,769.215,
1994-04,-414.448,
1994-07,1712.596,
1994-10,344.251,
1995-01,-1780.477,
1995-04,3623.895,
1995-07,-2004.606,
1995-10,-302.497,
1996-01,413.923,
1996-04,-1164.259,
1996-07,1232.423,
1996-10,2446.640,
1997-01,431.444,
1997-04,2703.954,
1997-07,2325.184,
1997-10,489.581,
1998-01,749.888,
1998-04,3609.572,
1998-07,3934.307,
1998-10,2782.393,
1999-01,1808.181,
1999-04,1744.001,
1999-07,4940.383,
1999-10,3781.078,
2000-01,2272.409,
2000-04,2756.518,
2000-07,1462.785,
2000-10,708.613,
2001-01,676.703,
2001-04,2911.930,
2001-07,2788.382,
2001-10,3700.191,
2002-01,2391.698,
2002-04,992.623,
2002-07,1120.935,
2002-10,2809.546,
2003-01,2529.139,
2003-04,2850.888,
2003-07,3647.008,
2003-10,1614.601,
2004-01,3870.348,
2004-04,2050.448,
2004-07,3443.058,
2004-10,6462.073,
2005-01,5740.567,
2005-04,3076.317,
2005-07,6172.543,
2005-10,7370.956,
2006-01,2927.977,
2006-04,2098.935,
2006-07,4071.263,
2006-10,6497.655,
2007-01,3100.020,
2007-04,8803.510,
2007-07,582.568,
2007-10,11869.819,
2008-01,12929.900,
2008-04,8578.878,
2008-07,7402.737,
2008-10,9044.342,
2009-01,8680.867,
2009-04,12840.263,
2009-07,6313.891,
2009-10,4900.267,
2010-01,10361.047,
2010-04,8578.226,
2010-07,11211.479,
2010-10,6066.483,
2011-01,7368.528,
2011-04,14766.081,
2011-07,3147.831,
2011-10,4519.672,
2012-01,4311.420,
2012-04,-1677.004,
2012-07,3659.924,
2012-10,4460.335,
2013-01,5015.520,
2013-04,4532.332,
2013-07,7929.759,
2013-10,8275.632,
2014-01,4844.960,Provisional value
2014-04,2319.374,Provisional value
2014-07,2196.943,Provisional value
2014-10,-6990.183,Provisional value
