"",BBK01.OECB21U,BBK01.OECB21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:19,
2002-01,0.709,
2002-04,0.722,
2002-07,0.727,
2002-10,0.780,
2003-01,0.762,
2003-04,0.781,
2003-07,0.799,
2003-10,0.835,
2004-01,0.815,
2004-04,0.791,
2004-07,0.779,
2004-10,0.751,
2005-01,0.923,
2005-04,0.901,
2005-07,0.878,
2005-10,0.880,
2006-01,0.866,
2006-04,0.818,
2006-07,0.804,
2006-10,0.776,
2007-01,0.763,
2007-04,0.746,
2007-07,0.734,
2007-10,0.731,
2008-01,0.696,
2008-04,0.676,
2008-07,0.667,
2008-10,0.637,
2009-01,0.612,
2009-04,0.561,
2009-07,0.570,
2009-10,0.448,
2010-01,0.428,
2010-04,0.415,
2010-07,0.442,
2010-10,0.428,
2011-01,0.367,
2011-04,0.349,
2011-07,0.337,
2011-10,0.317,
2012-01,0.307,
2012-04,0.291,
2012-07,0.279,
2012-10,0.257,
2013-01,0.274,
2013-04,0.270,
2013-07,0.334,
2013-10,0.335,
2014-01,0.323,
2014-04,0.323,
2014-07,0.311,
