"",BBK01.OUU319,BBK01.OUU319_FLAGS
"",Time deposits of foreign non-banks / Total / Building and loan associations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:27:24,
1999-01,0.427,
1999-02,0.436,
1999-03,0.441,
1999-04,0.449,
1999-05,0.450,
1999-06,0.452,
1999-07,0.454,
1999-08,0.454,
1999-09,0.457,
1999-10,0.458,
1999-11,0.461,
1999-12,0.479,
2000-01,0.480,
2000-02,0.481,
2000-03,0.481,
2000-04,0.481,
2000-05,0.481,
2000-06,0.474,
2000-07,0.472,
2000-08,0.471,
2000-09,0.471,
2000-10,0.469,
2000-11,0.467,
2000-12,0.486,
2001-01,0.482,
2001-02,0.481,
2001-03,0.483,
2001-04,0.481,
2001-05,0.479,
2001-06,0.477,
2001-07,0.474,
2001-08,0.501,
2001-09,0.502,
2001-10,0.506,
2001-11,0.560,
2001-12,0.580,
2002-01,0.583,
2002-02,0.583,
2002-03,0.584,
2002-04,0.593,
2002-05,0.706,
2002-06,0.705,
2002-07,0.704,
2002-08,0.729,
2002-09,0.729,
2002-10,0.731,
2002-11,0.736,
2002-12,0.757,
2003-01,0.761,
2003-02,0.769,
2003-03,0.772,
2003-04,0.771,
2003-05,0.792,
2003-06,0.779,
2003-07,0.804,
2003-08,0.807,
2003-09,0.812,
2003-10,0.815,
2003-11,0.816,
2003-12,0.834,
2004-01,0.836,
2004-02,0.838,
2004-03,0.695,
2004-04,0.694,
2004-05,0.689,
2004-06,0.690,
2004-07,0.688,
2004-08,0.688,
2004-09,0.688,
2004-10,0.687,
2004-11,0.688,
2004-12,0.700,
2005-01,0.701,
2005-02,0.704,
2005-03,0.706,
2005-04,0.707,
2005-05,0.706,
2005-06,0.702,
2005-07,0.702,
2005-08,0.703,
2005-09,0.707,
2005-10,0.704,
2005-11,0.705,
2005-12,0.721,
2006-01,0.722,
2006-02,0.724,
2006-03,0.724,
2006-04,0.723,
2006-05,0.722,
2006-06,0.721,
2006-07,0.721,
2006-08,0.724,
2006-09,0.724,
2006-10,0.727,
2006-11,0.726,
2006-12,0.768,
2007-01,0.772,
2007-02,0.772,
2007-03,0.773,
2007-04,0.772,
2007-05,0.770,
2007-06,0.774,
2007-07,0.824,
2007-08,0.823,
2007-09,0.825,
2007-10,0.824,
2007-11,0.822,
2007-12,0.831,
2008-01,0.903,
2008-02,0.905,
2008-03,0.907,
2008-04,0.906,
2008-05,0.910,
2008-06,0.910,
2008-07,0.907,
2008-08,0.907,
2008-09,0.908,
2008-10,0.909,
2008-11,0.910,
2008-12,0.901,
2009-01,0.905,
2009-02,0.906,
2009-03,0.907,
2009-04,0.909,
2009-05,0.909,
2009-06,0.860,
2009-07,0.861,
2009-08,0.865,
2009-09,0.866,
2009-10,0.867,
2009-11,0.869,
2009-12,0.887,
2010-01,0.892,
2010-02,0.892,
2010-03,0.896,
2010-04,0.901,
2010-05,0.898,
2010-06,0.880,
2010-07,0.883,
2010-08,0.887,
2010-09,0.891,
2010-10,0.869,
2010-11,0.873,
2010-12,0.892,
2011-01,0.893,
2011-02,0.898,
2011-03,0.899,
2011-04,0.900,
2011-05,0.900,
2011-06,0.901,
2011-07,0.905,
2011-08,0.908,
2011-09,0.882,
2011-10,0.884,
2011-11,0.859,
2011-12,0.872,
2012-01,0.874,
2012-02,0.878,
2012-03,0.876,
2012-04,0.876,
2012-05,0.764,
2012-06,0.767,
2012-07,0.762,
2012-08,0.759,
2012-09,0.763,
2012-10,0.765,
2012-11,0.766,
2012-12,0.783,
2013-01,0.787,
2013-02,0.793,
2013-03,0.791,
2013-04,0.790,
2013-05,0.792,
2013-06,0.796,
2013-07,0.796,
2013-08,0.796,
2013-09,0.801,
2013-10,0.803,
2013-11,0.801,
2013-12,0.812,
2014-01,0.821,
2014-02,0.826,
2014-03,0.830,
2014-04,0.826,
2014-05,0.830,
2014-06,0.831,
2014-07,0.836,
2014-08,0.837,
2014-09,0.841,
2014-10,0.843,
2014-11,0.845,
2014-12,0.869,Provisional value
