"",BBK01.OEAA55H,BBK01.OEAA55H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:04,
2002-01,21.051,
2002-04,20.270,
2002-07,19.573,
2002-10,19.224,
2003-01,18.491,
2003-04,18.016,
2003-07,17.642,
2003-10,18.187,
2004-01,17.912,
2004-04,18.385,
2004-07,17.803,
2004-10,17.110,
2005-01,18.867,
2005-04,18.865,
2005-07,18.447,
2005-10,18.925,
2006-01,18.577,
2006-04,18.127,
2006-07,18.968,
2006-10,18.873,
2007-01,19.856,
2007-04,19.808,
2007-07,20.118,
2007-10,19.765,
2008-01,28.474,
2008-04,29.173,
2008-07,30.855,
2008-10,31.136,
2009-01,31.533,
2009-04,32.129,
2009-07,44.145,
2009-10,44.713,
2010-01,44.377,
2010-04,46.722,
2010-07,45.498,
2010-10,43.146,
2011-01,39.248,
2011-04,40.182,
2011-07,40.567,
2011-10,41.013,
2012-01,40.372,
2012-04,40.521,
2012-07,40.402,
2012-10,38.261,
2013-01,37.321,
2013-04,35.961,
2013-07,32.891,
2013-10,28.572,
2014-01,28.642,
2014-04,28.068,
2014-07,28.264,
