"",BBK01.OEAE02M,BBK01.OEAE02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:18,
2002-01,8.827,
2002-04,8.803,
2002-07,9.324,
2002-10,9.327,
2003-01,8.947,
2003-04,9.066,
2003-07,8.878,
2003-10,8.856,
2004-01,8.999,
2004-04,9.095,
2004-07,8.197,
2004-10,7.984,
2005-01,7.752,
2005-04,7.719,
2005-07,7.208,
2005-10,7.588,
2006-01,7.560,
2006-04,7.505,
2006-07,7.013,
2006-10,7.203,
2007-01,7.075,
2007-04,6.933,
2007-07,7.048,
2007-10,7.266,
2008-01,7.047,
2008-04,7.214,
2008-07,7.514,
2008-10,7.673,
2009-01,8.901,
2009-04,9.184,
2009-07,8.956,
2009-10,8.855,
2010-01,9.259,
2010-04,8.785,
2010-07,8.600,
2010-10,8.556,
2011-01,8.558,
2011-04,8.806,
2011-07,8.475,
2011-10,8.469,
2012-01,8.361,
2012-04,8.420,
2012-07,8.477,
2012-10,8.650,
2013-01,8.520,
2013-04,8.950,
2013-07,9.011,
2013-10,9.234,
2014-01,9.100,
2014-04,9.142,
2014-07,9.340,
