"",BBK01.OEYB09U,BBK01.OEYB09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:53,
2002-01,1.425,
2002-04,1.440,
2002-07,1.475,
2002-10,1.526,
2003-01,1.489,
2003-04,1.496,
2003-07,1.482,
2003-10,1.446,
2004-01,1.442,
2004-04,0.982,
2004-07,1.050,
2004-10,1.055,
2005-01,1.055,
2005-04,1.034,
2005-07,1.022,
2005-10,1.028,
2006-01,1.018,
2006-04,0.989,
2006-07,1.012,
2006-10,1.035,
2007-01,1.042,
2007-04,1.107,
2007-07,1.105,
2007-10,1.117,
2008-01,1.124,
2008-04,1.132,
2008-07,1.119,
2008-10,1.051,
2009-01,0.965,
2009-04,1.009,
2009-07,1.030,
2009-10,1.005,
2010-01,1.008,
2010-04,1.002,
2010-07,0.962,
2010-10,0.944,
2011-01,0.964,
2011-04,0.997,
2011-07,0.989,
2011-10,0.972,
2012-01,0.952,
2012-04,0.932,
2012-07,0.944,
2012-10,0.907,
2013-01,0.902,
2013-04,1.041,
2013-07,1.025,
2013-10,1.041,
2014-01,1.291,
2014-04,1.428,
2014-07,1.391,
