"",BBK01.OEAD09O,BBK01.OEAD09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:42,
2002-01,0.249,
2002-04,0.239,
2002-07,0.257,
2002-10,0.260,
2003-01,0.263,
2003-04,0.244,
2003-07,0.217,
2003-10,0.208,
2004-01,0.203,
2004-04,0.189,
2004-07,0.202,
2004-10,0.195,
2005-01,0.206,
2005-04,0.209,
2005-07,0.205,
2005-10,0.208,
2006-01,0.206,
2006-04,0.194,
2006-07,0.193,
2006-10,0.211,
2007-01,0.206,
2007-04,0.206,
2007-07,0.186,
2007-10,0.183,
2008-01,0.226,
2008-04,0.227,
2008-07,0.191,
2008-10,0.191,
2009-01,0.177,
2009-04,0.167,
2009-07,0.158,
2009-10,0.142,
2010-01,0.114,
2010-04,0.207,
2010-07,0.196,
2010-10,0.162,
2011-01,0.173,
2011-04,0.167,
2011-07,0.173,
2011-10,0.163,
2012-01,0.149,
2012-04,0.141,
2012-07,0.135,
2012-10,0.130,
2013-01,0.148,
2013-04,0.156,
2013-07,0.163,
2013-10,0.174,
2014-01,0.165,
2014-04,0.168,
2014-07,0.199,
