"",BBK01.OEHB24V,BBK01.OEHB24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:49,
2002-01,1.546,
2002-04,1.569,
2002-07,1.572,
2002-10,1.590,
2003-01,1.736,
2003-04,1.785,
2003-07,1.820,
2003-10,1.870,
2004-01,1.811,
2004-04,1.810,
2004-07,1.837,
2004-10,1.851,
2005-01,1.821,
2005-04,1.795,
2005-07,1.838,
2005-10,1.905,
2006-01,1.920,
2006-04,1.961,
2006-07,1.938,
2006-10,1.846,
2007-01,1.874,
2007-04,1.869,
2007-07,1.853,
2007-10,1.892,
2008-01,1.920,
2008-04,1.909,
2008-07,1.922,
2008-10,1.974,
2009-01,2.100,
2009-04,2.223,
2009-07,2.272,
2009-10,2.329,
2010-01,2.325,
2010-04,2.495,
2010-07,2.612,
2010-10,2.657,
2011-01,2.698,
2011-04,2.677,
2011-07,2.700,
2011-10,2.735,
2012-01,2.741,
2012-04,2.761,
2012-07,2.754,
2012-10,2.791,
2013-01,2.805,
2013-04,2.790,
2013-07,2.788,
2013-10,2.780,
2014-01,2.768,
2014-04,2.736,
2014-07,2.702,
