"",BBFB1.Q.N.DE.GR.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:27,
1991-01,360.292,
1991-04,353.920,
1991-07,377.973,
1991-10,376.261,
1992-01,349.620,
1992-04,383.849,
1992-07,333.784,
1992-10,347.409,
1993-01,354.041,
1993-04,390.402,
1993-07,344.821,
1993-10,297.209,
1994-01,327.405,
1994-04,345.692,
1994-07,352.281,
1994-10,328.641,
1995-01,350.751,
1995-04,347.398,
1995-07,362.661,
1995-10,356.965,
1996-01,343.348,
1996-04,369.353,
1996-07,338.582,
1996-10,327.529,
1997-01,368.940,
1997-04,386.908,
1997-07,370.753,
1997-10,347.054,
1998-01,359.068,
1998-04,390.290,
1998-07,371.541,
1998-10,345.809,
1999-01,366.099,
1999-04,411.594,
1999-07,357.454,
1999-10,476.872,
2000-01,373.392,
2000-04,419.464,
2000-07,367.866,
2000-10,379.493,
2001-01,407.213,
2001-04,444.712,
2001-07,385.371,
2001-10,353.560,
2002-01,388.450,
2002-04,398.933,
2002-07,343.310,
2002-10,367.787,
2003-01,371.486,
2003-04,405.621,
2003-07,375.815,
2003-10,366.654,
2004-01,365.587,
2004-04,409.476,
2004-07,393.755,
2004-10,401.529,
2005-01,396.677,
2005-04,435.283,
2005-07,424.252,
2005-10,480.923,
2006-01,447.628,
2006-04,486.550,
2006-07,518.405,
2006-10,532.186,
2007-01,452.011,
2007-04,534.492,
2007-07,512.733,
2007-10,525.765,
2008-01,494.368,
2008-04,537.738,
2008-07,534.001,
2008-10,452.681,
2009-01,401.225,
2009-04,438.936,
2009-07,437.630,
2009-10,448.412,
2010-01,445.201,
2010-04,503.962,
2010-07,470.585,
2010-10,477.486,
2011-01,451.991,
2011-04,508.998,
2011-07,479.455,
2011-10,510.512,
2012-01,433.942,
2012-04,479.492,
2012-07,476.947,
2012-10,457.903,
2013-01,423.494,
2013-04,488.953,
2013-07,450.937,
2013-10,431.542,
2014-01,399.290,Provisional value
2014-04,434.763,Provisional value
2014-07,429.062,Provisional value
