"",BBK01.OEAC16L,BBK01.OEAC16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:18,
2002-01,51.860,
2002-04,46.567,
2002-07,46.141,
2002-10,43.217,
2003-01,52.916,
2003-04,49.133,
2003-07,50.993,
2003-10,48.843,
2004-01,46.435,
2004-04,41.272,
2004-07,40.940,
2004-10,43.560,
2005-01,47.820,
2005-04,49.417,
2005-07,60.902,
2005-10,53.579,
2006-01,60.306,
2006-04,65.066,
2006-07,64.798,
2006-10,46.349,
2007-01,60.410,
2007-04,62.876,
2007-07,58.516,
2007-10,55.777,
2008-01,66.064,
2008-04,63.351,
2008-07,62.461,
2008-10,68.843,
2009-01,80.632,
2009-04,72.396,
2009-07,64.309,
2009-10,55.543,
2010-01,45.614,
2010-04,51.556,
2010-07,40.407,
2010-10,41.934,
2011-01,47.960,
2011-04,50.114,
2011-07,50.073,
2011-10,50.279,
2012-01,50.341,
2012-04,46.617,
2012-07,48.024,
2012-10,47.476,
2013-01,53.894,
2013-04,61.971,
2013-07,27.439,
2013-10,25.821,
2014-01,26.318,
2014-04,26.861,
2014-07,26.964,
