"",BBFB1.Q.N.DE.FI.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.FI.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:12,
1991-01,-52.814,
1991-04,66.205,
1991-07,69.879,
1991-10,-113.131,
1992-01,35.020,
1992-04,82.298,
1992-07,-29.588,
1992-10,186.705,
1993-01,-146.278,
1993-04,23.572,
1993-07,-170.444,
1993-10,75.273,
1994-01,48.825,
1994-04,-21.319,
1994-07,151.696,
1994-10,95.327,
1995-01,-81.210,
1995-04,41.050,
1995-07,-22.388,
1995-10,-23.950,
1996-01,-57.163,
1996-04,-183.350,
1996-07,27.961,
1996-10,176.888,
1997-01,672.800,
1997-04,-91.991,
1997-07,-55.211,
1997-10,-124.077,
1998-01,-537.715,
1998-04,75.244,
1998-07,214.154,
1998-10,209.266,
1999-01,714.550,
1999-04,1252.089,
1999-07,144.849,
1999-10,656.250,
2000-01,1610.460,
2000-04,360.404,
2000-07,-211.549,
2000-10,475.336,
2001-01,452.995,
2001-04,730.697,
2001-07,94.154,
2001-10,-201.459,
2002-01,10.224,
2002-04,-201.925,
2002-07,252.753,
2002-10,-314.197,
2003-01,322.126,
2003-04,14.180,
2003-07,708.875,
2003-10,-32.070,
2004-01,163.944,
2004-04,543.675,
2004-07,450.981,
2004-10,397.570,
2005-01,579.600,
2005-04,-38.222,
2005-07,468.586,
2005-10,48.174,
2006-01,246.379,
2006-04,966.204,
2006-07,169.888,
2006-10,305.220,
2007-01,-5.419,
2007-04,-232.131,
2007-07,-818.872,
2007-10,-144.142,
2008-01,113.876,
2008-04,413.451,
2008-07,-63.877,
2008-10,326.841,
2009-01,124.135,
2009-04,319.072,
2009-07,-20.390,
2009-10,98.704,
2010-01,-69.866,
2010-04,394.300,
2010-07,11.203,
2010-10,466.943,
2011-01,-227.877,
2011-04,70.656,
2011-07,278.839,
2011-10,403.510,
2012-01,938.145,
2012-04,-110.335,
2012-07,506.537,
2012-10,193.855,
2013-01,261.621,
2013-04,624.517,
2013-07,353.094,
2013-10,217.121,
2014-01,96.577,Provisional value
2014-04,980.516,Provisional value
2014-07,107.016,Provisional value
2014-10,-159.368,Provisional value
