"",BBEX3.M.AWG.EUR.CA.AB.A01,BBEX3.M.AWG.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Aruba / EUR 100 = AWG ... (selling),
unit,AWG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:47,
2002-01,155.38,
2002-02,155.63,
2002-03,156.94,
2002-04,162.59,
2002-05,168.87,
2002-06,179.45,
2002-07,175.99,
2002-08,176.89,
2002-09,177.38,
2002-10,177.45,
2002-11,178.58,
2002-12,188.66,
2003-01,194.57,
2003-02,193.96,
2003-03,196.00,
2003-04,197.09,
2003-05,212.67,
2003-06,205.57,
2003-07,203.61,
2003-08,196.57,
2003-09,209.61,
2003-10,209.07,
2003-11,215.77,
2003-12,227.21,
2004-01,222.78,
2004-02,223.39,
2004-03,219.90,
2004-04,212.74,
2004-05,219.44,
2004-06,218.66,
2004-07,216.58,
2004-08,217.87,
2004-09,223.23,
2004-10,229.13,
2004-11,239.17,
2004-12,245.03,
2005-01,234.49,
2005-02,238.49,
2005-03,233.22,
2005-04,233.09,
2005-05,221.83,
2005-06,217.53,
2005-07,217.55,
2005-08,219.44,
2005-09,216.63,
2005-10,216.29,
2005-11,211.72,
2005-12,212.22,
2006-01,218.00,
2006-02,213.63,
2006-03,217.74,
2006-04,225.53,
2006-05,231.49,
2006-06,228.70,
2006-07,229.67,
2006-08,231.18,
2006-09,227.75,
2006-10,228.39,
2006-11,237.46,
2006-12,236.92,
2007-01,233.04,
2007-02,237.66,
2007-03,239.58,
2007-04,245.43,
2007-05,242.01,
2007-06,242.95,
2007-07,246.58,
2007-08,246.55,
2007-09,255.07,
2007-10,259.89,
2007-11,265.54,
2007-12,264.82,
2008-01,267.50,
2008-02,272.85,
2008-03,284.45,
2008-04,280.11,
2008-05,278.98,
2008-06,283.59,
2008-07,280.83,
2008-08,265.08,
2008-09,257.30,
2008-10,229.49,
2008-11,228.95,
2008-12,250.36,
2009-01,230.55,
2009-02,227.46,
2009-03,239.40,
2009-04,238.65,
2009-05,253.62,
2009-06,254.26,
2009-07,254.34,
2009-08,256.75,
2009-09,263.42,
2009-10,266.24,
2009-11,270.26,
2009-12,259.16,
2010-01,251.24,
2010-02,244.12,
2010-03,242.48,
2010-04,238.47,
2010-05,221.40,
2010-06,220.75,
2010-07,234.37,
2010-08,228.11,
2010-09,245.52,
2010-10,249.28,
2010-11,233.83,
2010-12,240.38,
2011-01,246.31,
2011-02,248.87,
2011-03,255.58,
2011-04,267.32,
2011-05,258.78,
2011-06,260.00,
2011-07,256.53,
2011-08,259.95,
2011-09,242.91,
2011-10,251.87,
2011-11,241.38,
2011-12,232.77,
2012-01,237.03,
2012-02,241.83,
2012-03,240.27,
2012-04,237.98,
2012-05,223.12,
2012-06,226.49,
2012-07,220.98,
2012-08,226.87,
2012-09,232.60,
2012-10,233.74,
2012-11,233.61,
2012-12,237.35,
2013-01,243.76,
2013-02,236.18,
2013-03,230.36,
2013-04,235.90,
2013-05,233.97,
2013-06,235.30,
2013-07,238.81,
2013-08,238.09,
2013-09,242.95,
2013-10,245.39,
2013-11,244.86,
2013-12,248.09,
2014-01,243.15,
2014-02,248.49,
2014-03,248.04,
2014-04,249.15,
2014-05,244.78,
2014-06,245.70,
2014-07,240.68,
2014-08,237.25,
2014-09,226.36,
2014-10,225.30,
2014-11,224.56,
2014-12,218.41,
2015-01,203.37,
"","Source: Centrale Bank van Aruba, Oranjestad.",
