"",BBK01.WJ5003,BBK01.WJ5003_FLAGS
"",Exchange rates on the Frankfurt exchange / DKK 100 = DM ... / Denmark,
unit,DEM (hypothetically euro-based),
unit multiplier,one,
last update,2012-04-18 09:19:12,
1953,60.436,
1954,60.446,
1955,60.626,
1956,60.507,
1957,60.522,
1958,60.570,
1959,60.646,
1960,60.512,
1961,58.266,
1962,57.938,
1963,57.750,
1964,57.481,
1965,57.772,
1966,57.885,
1967,57.135,
1968,53.347,
1969,52.197,
1970,48.631,
1971,47.024,
1972,45.923,
1973,44.046,
1974,42.535,
1975,42.850,
1976,41.657,
1977,38.696,
1978,36.438,
1979,34.872,
1980,32.245,
1981,31.735,
1982,29.138,
1983,27.926,
1984,27.479,
1985,27.766,
1986,26.815,
1987,26.275,
1988,26.089,
1989,25.717,
1990,26.120,
1991,25.932,
1992,25.869,
1993,25.508,
1994,25.513,
1995,25.570,
1996,25.945,
1997,26.249,
1998,26.258,
"","General: Average calculated from daily quotations. From 18 May 1953 to 30 December 1998 official quotation on the Frankfurt exchange. From January 1999, euro reference exchange rates of the European Central Bank; see wj5625.",
