"",BBK01.OEBK02U,BBK01.OEBK02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:01,
2002-01,0.245,
2002-04,0.276,
2002-07,0.285,
2002-10,0.303,
2003-01,0.310,
2003-04,0.303,
2003-07,0.320,
2003-10,0.320,
2004-01,0.323,
2004-04,0.333,
2004-07,0.333,
2004-10,0.351,
2005-01,0.355,
2005-04,0.362,
2005-07,0.393,
2005-10,0.405,
2006-01,0.396,
2006-04,0.403,
2006-07,0.414,
2006-10,0.422,
2007-01,0.412,
2007-04,0.579,
2007-07,0.425,
2007-10,0.443,
2008-01,0.430,
2008-04,0.418,
2008-07,0.412,
2008-10,0.465,
2009-01,0.501,
2009-04,0.518,
2009-07,0.557,
2009-10,0.593,
2010-01,0.581,
2010-04,0.640,
2010-07,0.661,
2010-10,0.685,
2011-01,0.672,
2011-04,0.675,
2011-07,0.704,
2011-10,0.711,
2012-01,0.695,
2012-04,0.709,
2012-07,0.730,
2012-10,0.749,
2013-01,0.758,
2013-04,0.762,
2013-07,0.792,
2013-10,0.817,
2014-01,0.807,
2014-04,0.812,
2014-07,0.829,
