"",BBSF2.M.1.P.00000.GEM01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:53,
1993-04,-,Nothing exists
1993-05,11,
1993-06,0,
1993-07,0,
1993-08,16,
1993-09,1,
1993-10,12,
1993-11,47,
1993-12,6,
1994-01,5,
1994-02,17,
1994-03,5,
1994-04,0,
1994-05,13,
1994-06,0,
1994-07,3,
1994-08,14,
1994-09,2,
1994-10,0,
1994-11,65,
1994-12,16,
1995-01,5,
1995-02,19,
1995-03,6,
1995-04,0,
1995-05,17,
1995-06,5,
1995-07,15,
1995-08,14,
1995-09,2,
1995-10,0,
1995-11,76,
1995-12,26,
1996-01,5,
1996-02,17,
1996-03,7,
1996-04,0,
1996-05,15,
1996-06,-,Nothing exists
1996-07,-,Nothing exists
1996-08,13,
1996-09,1,
1996-10,1,
1996-11,71,
1996-12,26,
1997-01,12,
1997-02,21,
1997-03,12,
1997-04,0,
1997-05,16,
1997-06,1,
1997-07,2,
1997-08,10,
1997-09,2,
1997-10,1,
1997-11,76,
1997-12,6,
1998-01,43,
1998-02,26,
1998-03,14,
1998-04,1,
1998-05,19,
1998-06,0,
1998-07,0,
1998-08,16,
1998-09,2,
1998-10,1,
1998-11,101,
1998-12,80,
1999-01,17,
1999-02,38,
1999-03,18,
1999-04,1,
1999-05,19,
1999-06,4,
1999-07,1,
1999-08,12,
1999-09,2,
1999-10,1,
1999-11,108,
1999-12,44,
2000-01,58,
2000-02,65,
2000-03,29,
2000-04,1,
2000-05,21,
2000-06,3,
2000-07,3,
2000-08,10,
2000-09,2,
2000-10,2,
2000-11,126,
2000-12,45,
2001-01,56,
2001-02,89,
2001-03,32,
2001-04,0,
2001-05,26,
2001-06,5,
2001-07,1,
2001-08,12,
2001-09,1,
2001-10,2,
2001-11,110,
2001-12,43,
2002-01,48,
2002-02,118,
2002-03,27,
2002-04,1,
2002-05,25,
2002-06,5,
2002-07,1,
2002-08,8,
2002-09,1,
2002-10,15,
2002-11,127,
2002-12,41,
2003-01,5,
2003-02,80,
2003-03,26,
2003-04,2,
2003-05,19,
2003-06,3,
2003-07,1,
2003-08,7,
2003-09,1,
2003-10,2,
2003-11,118,
2003-12,45,
2004-01,27,
2004-02,98,
2004-03,22,
2004-04,0,
2004-05,17,
2004-06,3,
2004-07,1,
2004-08,5,
2004-09,1,
2004-10,2,
2004-11,110,
2004-12,28,
2005-01,13,
2005-02,82,
2005-03,22,
2005-04,3,
2005-05,16,
2005-06,3,
2005-07,5,
2005-08,7,
2005-09,2,
2005-10,4,
2005-11,47,
2005-12,46,
2006-01,16,
2006-02,104,
2006-03,29,
2006-04,2,
2006-05,17,
2006-06,13,
2006-07,5,
2006-08,14,
2006-09,3,
2006-10,2,
2006-11,118,
2006-12,26,
2007-01,17,
2007-02,142,
2007-03,20,
2007-04,7,
2007-05,48,
2007-06,10,
2007-07,38,
2007-08,14,
2007-09,15,
2007-10,27,
2007-11,148,
2007-12,86,
2008-01,26,
2008-02,145,
2008-03,57,
2008-04,11,
2008-05,40,
2008-06,41,
2008-07,13,
2008-08,15,
2008-09,14,
2008-10,8,
2008-11,116,
2008-12,43,
2009-01,31,
2009-02,109,
2009-03,46,
2009-04,9,
2009-05,34,
2009-06,23,
2009-07,8,
2009-08,13,
2009-09,3,
2009-10,16,
2009-11,44,
2009-12,29,
2010-01,46,
2010-02,32,
2010-03,33,
2010-04,32,
2010-05,24,
2010-06,16,
2010-07,9,
2010-08,16,
2010-09,2,
2010-10,20,
2010-11,70,
2010-12,31,
2011-01,57,
2011-02,60,
2011-03,52,
2011-04,18,
2011-05,34,
2011-06,16,
2011-07,10,
2011-08,15,
2011-09,5,
2011-10,18,
2011-11,52,
2011-12,22,
2012-01,35,
2012-02,50,
2012-03,34,
2012-04,15,
2012-05,37,
2012-06,17,
2012-07,13,
2012-08,11,
2012-09,10,
2012-10,22,
2012-11,63,
2012-12,28,
2013-01,42,
2013-02,60,
2013-03,27,
2013-04,14,
2013-05,36,
2013-06,16,
2013-07,27,
2013-08,8,
2013-09,11,
2013-10,24,
2013-11,55,
2013-12,26,
2014-01,152,
2014-02,69,
2014-03,29,
2014-04,11,
2014-05,42,
2014-06,16,
2014-07,31,
2014-08,11,
2014-09,20,
2014-10,59,
2014-11,50,
