"",BBK01.OEAL09Q,BBK01.OEAL09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:49,
2002-01,2.853,
2002-04,2.837,
2002-07,2.875,
2002-10,2.837,
2003-01,2.682,
2003-04,2.592,
2003-07,2.484,
2003-10,2.441,
2004-01,2.353,
2004-04,2.260,
2004-07,2.255,
2004-10,2.256,
2005-01,2.348,
2005-04,2.317,
2005-07,2.113,
2005-10,2.036,
2006-01,1.995,
2006-04,1.944,
2006-07,1.967,
2006-10,2.035,
2007-01,2.182,
2007-04,2.344,
2007-07,2.466,
2007-10,2.672,
2008-01,2.711,
2008-04,2.783,
2008-07,2.886,
2008-10,3.341,
2009-01,3.201,
2009-04,3.043,
2009-07,2.974,
2009-10,2.683,
2010-01,2.441,
2010-04,2.415,
2010-07,2.355,
2010-10,2.381,
2011-01,2.445,
2011-04,2.512,
2011-07,2.476,
2011-10,2.527,
2012-01,2.542,
2012-04,2.522,
2012-07,2.430,
2012-10,2.155,
2013-01,1.904,
2013-04,1.716,
2013-07,1.568,
2013-10,1.514,
2014-01,1.485,
2014-04,1.507,
2014-07,1.602,
