"",BBK01.OEAO03L,BBK01.OEAO03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:45,
2002-01,2.771,
2002-04,-3.767,
2002-07,2.739,
2002-10,2.872,
2003-01,3.278,
2003-04,2.354,
2003-07,2.061,
2003-10,2.659,
2004-01,2.128,
2004-04,2.062,
2004-07,1.810,
2004-10,2.089,
2005-01,5.028,
2005-04,4.730,
2005-07,1.426,
2005-10,0.901,
2006-01,1.871,
2006-04,1.712,
2006-07,2.063,
2006-10,2.782,
2007-01,3.313,
2007-04,3.135,
2007-07,3.694,
2007-10,4.210,
2008-01,3.907,
2008-04,2.727,
2008-07,2.548,
2008-10,2.525,
2009-01,2.610,
2009-04,1.974,
2009-07,3.205,
2009-10,4.822,
2010-01,9.079,
2010-04,9.465,
2010-07,5.621,
2010-10,7.086,
2011-01,5.128,
2011-04,6.072,
2011-07,3.884,
2011-10,4.094,
2012-01,4.279,
2012-04,3.617,
2012-07,3.962,
2012-10,4.068,
2013-01,4.275,
2013-04,3.238,
2013-07,3.021,
2013-10,3.123,
2014-01,3.571,
2014-04,3.286,
2014-07,3.189,
