"",BBEX3.M.BOB.USD.CA.AA.A01,BBEX3.M.BOB.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the Plurinational State of Bolivia / USD 1 = BOB ... (buying),
unit,BOB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:17,
1990-01,3.000,
1990-02,3.040,
1990-03,3.070,
1990-04,3.100,
1990-05,3.130,
1990-06,3.140,
1990-07,3.170,
1990-08,3.210,
1990-09,3.250,
1990-10,3.290,
1990-11,3.340,
1990-12,3.390,
1991-01,3.450,
1991-02,3.470,
1991-03,3.500,
1991-04,3.520,
1991-05,3.550,
1991-06,3.580,
1991-07,3.600,
1991-08,3.620,
1991-09,3.650,
1991-10,3.680,
1991-11,3.700,
1991-12,3.740,
1992-01,3.750,
1992-02,3.780,
1992-03,3.800,
1992-04,3.820,
1992-05,3.850,
1992-06,3.870,
1992-07,3.910,
1992-08,3.960,
1992-09,4.000,
1992-10,4.030,
1992-11,4.050,
1992-12,4.090,
1993-01,4.110,
1993-02,4.140,
1993-03,4.170,
1993-04,4.200,
1993-05,4.230,
1993-06,4.260,
1993-07,4.290,
1993-08,4.310,
1993-09,4.340,
1993-10,4.380,
1993-11,4.420,
1993-12,4.460,
1994-01,4.490,
1994-02,4.520,
1994-03,4.570,
1994-04,4.590,
1994-05,4.620,
1994-06,4.660,
1994-07,4.640,
1994-08,4.670,
1994-09,4.660,
1994-10,4.670,
1994-11,4.690,
1994-12,4.690,
1995-01,4.720,
1995-02,4.710,
1995-03,4.750,
1995-04,4.750,
1995-05,4.760,
1995-06,4.790,
1995-07,4.800,
1995-08,4.830,
1995-09,4.850,
1995-10,4.850,
1995-11,4.890,
1995-12,4.930,
1996-01,4.970,
1996-02,4.980,
1996-03,5.000,
1996-04,5.040,
1996-05,5.060,
1996-06,5.060,
1996-07,5.100,
1996-08,5.120,
1996-09,5.140,
1996-10,5.180,
1996-11,5.160,
1996-12,5.180,
1997-01,5.200,
1997-02,5.210,
1997-03,5.220,
1997-04,5.220,
1997-05,5.210,
1997-06,5.220,
1997-07,5.240,
1997-08,5.260,
1997-09,5.280,
1997-10,5.310,
1997-11,5.330,
1997-12,5.360,
1998-01,5.380,
1998-02,5.400,
1998-03,5.440,
1998-04,5.470,
1998-05,5.490,
1998-06,5.510,
1998-07,5.530,
1998-08,5.540,
1998-09,5.570,
1998-10,5.590,
1998-11,5.610,
1998-12,5.640,
1999-01,5.650,
1999-02,5.680,
1999-03,5.710,
1999-04,5.740,
1999-05,5.780,
1999-06,5.800,
1999-07,5.840,
1999-08,5.880,
1999-09,5.910,
1999-10,5.950,
1999-11,5.970,
1999-12,5.990,
2000-01,6.020,
2000-02,6.050,
2000-03,6.090,
2000-04,6.120,
2000-05,6.150,
2000-06,6.180,
2000-07,6.210,
2000-08,6.240,
2000-09,6.280,
