"",BBK01.OEBB13N,BBK01.OEBB13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:41,
2002-01,15.898,
2002-04,15.826,
2002-07,15.753,
2002-10,15.714,
2003-01,15.073,
2003-04,15.024,
2003-07,14.703,
2003-10,14.695,
2004-01,14.232,
2004-04,14.247,
2004-07,14.205,
2004-10,12.557,
2005-01,12.831,
2005-04,12.750,
2005-07,12.759,
2005-10,12.814,
2006-01,12.814,
2006-04,12.790,
2006-07,12.869,
2006-10,12.764,
2007-01,12.732,
2007-04,12.727,
2007-07,12.737,
2007-10,12.899,
2008-01,12.867,
2008-04,13.099,
2008-07,13.160,
2008-10,13.088,
2009-01,12.931,
2009-04,13.928,
2009-07,13.869,
2009-10,13.496,
2010-01,13.312,
2010-04,13.391,
2010-07,13.421,
2010-10,13.222,
2011-01,13.234,
2011-04,13.192,
2011-07,13.187,
2011-10,13.074,
2012-01,12.917,
2012-04,12.944,
2012-07,12.947,
2012-10,13.040,
2013-01,12.961,
2013-04,13.124,
2013-07,13.195,
2013-10,13.267,
2014-01,13.189,
2014-04,13.117,
2014-07,13.062,
