"",BBDE1.M.DE.N.BAA1.A2P200000.G.C.I10.L,BBDE1.M.DE.N.BAA1.A2P200000.G.C.I10.L_FLAGS
"","Output in the production sector / At constant prices / Germany / Mining, quarrying and manufacturing sector (B + C) / Unadjusted figure",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:10:49,
1950-01,11.4,
1950-02,11.0,
1950-03,12.8,
1950-04,11.7,
1950-05,12.7,
1950-06,13.3,
1950-07,13.7,
1950-08,14.9,
1950-09,15.4,
1950-10,16.5,
1950-11,16.5,
1950-12,14.9,
1951-01,15.2,
1951-02,14.7,
1951-03,15.7,
1951-04,16.1,
1951-05,15.6,
1951-06,16.6,
1951-07,16.1,
1951-08,16.6,
1951-09,16.1,
1951-10,18.2,
1951-11,17.9,
1951-12,15.8,
1952-01,16.5,
1952-02,15.8,
1952-03,16.8,
1952-04,15.9,
1952-05,16.8,
1952-06,15.9,
1952-07,17.4,
1952-08,17.1,
1952-09,18.6,
1952-10,20.1,
1952-11,18.7,
1952-12,17.9,
1953-01,17.1,
1953-02,15.9,
1953-03,18.6,
1953-04,17.9,
1953-05,17.2,
1953-06,19.2,
1953-07,19.6,
1953-08,18.9,
1953-09,20.6,
1953-10,22.1,
1953-11,20.9,
1953-12,20.5,
1954-01,18.2,
1954-02,17.9,
1954-03,20.9,
1954-04,19.7,
1954-05,20.3,
1954-06,20.5,
1954-07,21.8,
1954-08,21.1,
1954-09,22.9,
1954-10,23.8,
1954-11,23.9,
1954-12,23.9,
1955-01,21.4,
1955-02,21.0,
1955-03,24.3,
1955-04,22.7,
1955-05,23.7,
1955-06,23.9,
1955-07,24.3,
1955-08,25.2,
1955-09,26.4,
1955-10,27.1,
1955-11,27.0,
1955-12,26.9,
1956-01,25.0,
1956-02,23.6,
1956-03,25.7,
1956-04,25.4,
1956-05,25.4,
1956-06,27.1,
1956-07,26.4,
1956-08,27.0,
1956-09,27.1,
1956-10,29.4,
1956-11,28.4,
1956-12,25.7,
1957-01,26.5,
1957-02,25.4,
1957-03,27.4,
1957-04,27.1,
1957-05,28.6,
1957-06,25.3,
1957-07,28.2,
1957-08,27.9,
1957-09,28.3,
1957-10,31.2,
1957-11,29.7,
1957-12,27.4,
1958-01,27.7,
1958-02,26.0,
1958-03,28.6,
1958-04,27.9,
1958-05,27.4,
1958-06,27.2,
1958-07,29.5,
1958-08,27.7,
1958-09,30.2,
1958-10,32.3,
1958-11,29.5,
1958-12,29.0,
1959-01,27.4,
1959-02,26.6,
1959-03,28.5,
1959-04,31.2,
1959-05,27.9,
1959-06,30.9,
1959-07,31.1,
1959-08,30.0,
1959-09,33.3,
1959-10,35.4,
1959-11,33.7,
1959-12,33.4,
1960-01,30.3,
1960-02,31.5,
1960-03,35.6,
1960-04,32.4,
1960-05,34.8,
1960-06,32.9,
1960-07,33.4,
1960-08,34.4,
1960-09,36.9,
1960-10,37.2,
1960-11,37.6,
1960-12,37.1,
1961-01,35.0,
1961-02,33.7,
1961-03,38.8,
1961-04,35.0,
1961-05,35.9,
1961-06,36.8,
1961-07,35.0,
1961-08,36.4,
1961-09,37.7,
1961-10,39.5,
1961-11,38.8,
1961-12,35.5,
1962-01,36.4,
1962-02,34.8,
1962-03,38.4,
1962-04,35.6,
1962-05,39.0,
1962-06,36.7,
1962-07,37.2,
1962-08,37.8,
1962-09,39.0,
1962-10,42.8,
1962-11,41.0,
1962-12,35.8,
1963-01,36.5,
1963-02,34.4,
1963-03,38.9,
1963-04,38.6,
1963-05,40.2,
1963-06,35.6,
1963-07,39.8,
1963-08,37.8,
1963-09,40.9,
1963-10,45.2,
1963-11,41.9,
1963-12,38.1,
1964-01,39.6,
1964-02,38.9,
1964-03,40.7,
1964-04,43.7,
1964-05,38.5,
1964-06,43.1,
1964-07,43.4,
1964-08,38.8,
1964-09,45.2,
1964-10,47.3,
1964-11,45.5,
1964-12,44.3,
1965-01,40.6,
1965-02,41.4,
1965-03,46.8,
1965-04,44.2,
1965-05,44.7,
1965-06,44.2,
1965-07,43.4,
1965-08,41.8,
1965-09,47.8,
1965-10,47.8,
1965-11,47.2,
1965-12,47.2,
1966-01,42.1,
1966-02,41.9,
1966-03,49.5,
1966-04,44.2,
1966-05,45.6,
1966-06,46.2,
1966-07,43.4,
1966-08,42.7,
1966-09,47.5,
1966-10,47.2,
1966-11,46.3,
1966-12,44.5,
1967-01,41.3,
1967-02,39.6,
1967-03,43.1,
1967-04,42.4,
1967-05,41.3,
1967-06,45.1,
1967-07,41.9,
1967-08,40.9,
1967-09,45.4,
1967-10,48.6,
1967-11,47.8,
1967-12,46.3,
1968-01,42.2,
1968-02,42.9,
1968-03,46.1,
1968-04,45.8,
1968-05,48.4,
1968-06,44.2,
1968-07,47.1,
1968-08,46.2,
1968-09,50.7,
1968-10,55.5,
1968-11,52.8,
1968-12,49.4,
1969-01,49.3,
1969-02,48.2,
1969-03,53.0,
1969-04,52.7,
1969-05,52.3,
1969-06,52.9,
1969-07,53.7,
1969-08,49.5,
1969-09,57.5,
1969-10,61.9,
1969-11,57.5,
1969-12,55.0,
1970-01,51.9,
1970-02,53.0,
1970-03,56.4,
1970-04,60.6,
1970-05,54.2,
1970-06,59.1,
1970-07,57.8,
1970-08,51.3,
1970-09,59.8,
1970-10,62.0,
1970-11,59.6,
1970-12,58.1,
1971-01,53.0,
1971-02,54.3,
1971-03,62.0,
1971-04,58.3,
1971-05,56.4,
1971-06,58.6,
1971-07,56.7,
1971-08,51.8,
1971-09,60.5,
1971-10,61.1,
1971-11,60.2,
1971-12,57.4,
1972-01,53.9,
1972-02,56.5,
1972-03,62.1,
1972-04,57.9,
1972-05,59.4,
1972-06,61.5,
1972-07,55.6,
1972-08,55.5,
1972-09,60.4,
1972-10,64.9,
1972-11,64.6,
1972-12,59.4,
1973-01,59.9,
1973-02,59.9,
1973-03,65.9,
1973-04,61.3,
1973-05,65.5,
1973-06,62.0,
1973-07,57.9,
1973-08,59.8,
1973-09,63.3,
1973-10,70.2,
1973-11,67.1,
1973-12,59.1,
1974-01,60.8,
1974-02,59.5,
1974-03,64.0,
1974-04,63.1,
1974-05,65.4,
1974-06,58.3,
1974-07,61.0,
1974-08,55.0,
1974-09,62.2,
1974-10,67.1,
1974-11,61.8,
1974-12,55.0,
1975-01,54.9,
1975-02,54.2,
1975-03,55.9,
1975-04,60.2,
1975-05,54.4,
1975-06,57.1,
1975-07,53.9,
1975-08,50.5,
1975-09,60.6,
1975-10,64.7,
1975-11,60.2,
1975-12,58.2,
1976-01,55.6,
1976-02,58.3,
1976-03,65.4,
1976-04,61.6,
1976-05,62.0,
1976-06,63.1,
1976-07,56.6,
1976-08,55.9,
1976-09,66.1,
1976-10,65.9,
1976-11,66.3,
1976-12,64.7,
1977-01,58.6,
1977-02,59.9,
1977-03,69.5,
1977-04,61.5,
1977-05,62.6,
1977-06,64.4,
1977-07,55.8,
1977-08,58.5,
1977-09,67.1,
1977-10,66.4,
1977-11,67.0,
1977-12,65.3,
1978-01,62.0,
1978-02,59.6,
1978-03,63.4,
1978-04,62.9,
1978-05,61.3,
1978-06,66.7,
1978-07,58.3,
1978-08,59.7,
1978-09,67.2,
1978-10,69.5,
1978-11,68.8,
1978-12,65.2,
1979-01,62.6,
1979-02,61.7,
1979-03,69.4,
1979-04,65.2,
1979-05,68.6,
1979-06,66.9,
1979-07,64.2,
1979-08,62.0,
1979-09,66.9,
1979-10,74.2,
1979-11,72.4,
1979-12,66.5,
1980-01,66.7,
1980-02,67.9,
1980-03,70.7,
1980-04,68.1,
1980-05,65.4,
1980-06,65.8,
1980-07,65.3,
1980-08,58.4,
1980-09,68.9,
1980-10,72.6,
1980-11,67.6,
1980-12,65.3,
1981-01,60.4,
1981-02,64.0,
1981-03,69.9,
1981-04,66.1,
1981-05,63.9,
1981-06,64.0,
1981-07,64.0,
1981-08,57.3,
1981-09,70.0,
1981-10,71.6,
1981-11,69.1,
1981-12,66.3,
1982-01,58.6,
1982-02,62.0,
1982-03,72.2,
1982-04,66.0,
1982-05,63.6,
1982-06,64.8,
1982-07,58.4,
1982-08,56.3,
1982-09,66.5,
1982-10,65.0,
1982-11,65.1,
1982-12,63.9,
1983-01,57.8,
1983-02,58.9,
1983-03,69.4,
1983-04,62.1,
1983-05,63.1,
1983-06,66.3,
1983-07,57.5,
1983-08,58.0,
1983-09,68.5,
1983-10,67.5,
1983-11,69.1,
1983-12,67.4,
1984-01,62.6,
1984-02,66.0,
1984-03,68.6,
1984-04,63.1,
1984-05,66.9,
1984-06,57.6,
1984-07,63.0,
1984-08,60.4,
1984-09,66.7,
1984-10,74.9,
1984-11,71.9,
1984-12,64.7,
1985-01,64.7,
1985-02,64.7,
1985-03,71.0,
1985-04,68.1,
1985-05,68.2,
1985-06,66.1,
1985-07,68.5,
1985-08,61.1,
1985-09,71.1,
1985-10,78.3,
1985-11,73.2,
1985-12,66.4,
1986-01,66.4,
1986-02,66.8,
1986-03,68.4,
1986-04,75.5,
