"",BBK01.OEAC60O,BBK01.OEAC60O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:11,
2002-01,2.767,
2002-04,2.780,
2002-07,2.766,
2002-10,2.747,
2003-01,2.717,
2003-04,2.699,
2003-07,2.565,
2003-10,2.557,
2004-01,2.531,
2004-04,2.536,
2004-07,2.456,
2004-10,2.417,
2005-01,2.413,
2005-04,2.394,
2005-07,2.412,
2005-10,2.480,
2006-01,2.451,
2006-04,2.447,
2006-07,2.425,
2006-10,2.466,
2007-01,2.414,
2007-04,2.391,
2007-07,2.386,
2007-10,2.364,
2008-01,2.346,
2008-04,2.345,
2008-07,2.321,
2008-10,2.309,
2009-01,2.268,
2009-04,2.260,
2009-07,2.249,
2009-10,2.238,
2010-01,2.151,
2010-04,2.134,
2010-07,2.230,
2010-10,2.256,
2011-01,2.209,
2011-04,2.195,
2011-07,2.200,
2011-10,2.174,
2012-01,2.169,
2012-04,2.165,
2012-07,2.173,
2012-10,2.166,
2013-01,2.156,
2013-04,2.185,
2013-07,2.167,
2013-10,2.138,
2014-01,2.140,
2014-04,2.141,
2014-07,2.138,
