"",BBK01.OEBB20L,BBK01.OEBB20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:22,
2002-01,13.286,
2002-04,13.485,
2002-07,13.733,
2002-10,13.908,
2003-01,14.266,
2003-04,14.567,
2003-07,14.964,
2003-10,15.516,
2004-01,16.119,
2004-04,17.329,
2004-07,18.241,
2004-10,19.546,
2005-01,22.103,
2005-04,23.770,
2005-07,26.563,
2005-10,30.671,
2006-01,32.874,
2006-04,35.722,
2006-07,38.132,
2006-10,40.527,
2007-01,41.992,
2007-04,43.771,
2007-07,45.595,
2007-10,50.513,
2008-01,51.989,
2008-04,52.048,
2008-07,52.467,
2008-10,52.894,
2009-01,52.658,
2009-04,55.668,
2009-07,56.957,
2009-10,58.175,
2010-01,58.640,
2010-04,59.625,
2010-07,61.128,
2010-10,62.309,
2011-01,63.252,
2011-04,64.621,
2011-07,66.006,
2011-10,67.273,
2012-01,67.770,
2012-04,68.743,
2012-07,70.331,
2012-10,71.143,
2013-01,71.391,
2013-04,71.950,
2013-07,73.021,
2013-10,73.826,
2014-01,74.261,
2014-04,75.274,
2014-07,76.036,
