"",BBK01.OEAD10R,BBK01.OEAD10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:33,
2002-01,0.196,
2002-04,0.198,
2002-07,0.219,
2002-10,0.226,
2003-01,0.233,
2003-04,0.229,
2003-07,0.227,
2003-10,0.222,
2004-01,0.209,
2004-04,0.202,
2004-07,0.206,
2004-10,0.198,
2005-01,0.196,
2005-04,0.208,
2005-07,0.204,
2005-10,0.207,
2006-01,0.188,
2006-04,0.203,
2006-07,0.191,
2006-10,0.187,
2007-01,0.162,
2007-04,0.145,
2007-07,0.142,
2007-10,0.137,
2008-01,0.130,
2008-04,0.131,
2008-07,0.134,
2008-10,0.135,
2009-01,0.134,
2009-04,0.138,
2009-07,0.140,
2009-10,0.137,
2010-01,0.147,
2010-04,0.154,
2010-07,0.147,
2010-10,0.148,
2011-01,0.161,
2011-04,0.155,
2011-07,0.159,
2011-10,0.152,
2012-01,0.158,
2012-04,0.140,
2012-07,0.143,
2012-10,0.145,
2013-01,0.143,
2013-04,0.144,
2013-07,0.139,
2013-10,0.128,
2014-01,0.127,
2014-04,0.130,
2014-07,0.121,
