"",BBDE1.M.DE.Y.AEB5.N2C260000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.N2C260000.F.C.I10.A_FLAGS
"","Orders received from abroad / At constant prices / Germany / 26 Manufacture of computer, electronic and optical products / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:26,
1991-01,36.4,
1991-02,35.3,
1991-03,35.4,
1991-04,35.8,
1991-05,40.7,
1991-06,32.3,
1991-07,36.1,
1991-08,30.5,
1991-09,34.8,
1991-10,35.9,
1991-11,33.9,
1991-12,36.8,
1992-01,36.9,
1992-02,34.5,
1992-03,39.5,
1992-04,35.5,
1992-05,30.9,
1992-06,31.3,
1992-07,33.0,
1992-08,36.5,
1992-09,31.6,
1992-10,32.8,
1992-11,33.6,
1992-12,32.7,
1993-01,29.9,
1993-02,31.9,
1993-03,31.9,
1993-04,30.5,
1993-05,29.2,
1993-06,33.2,
1993-07,30.0,
1993-08,32.1,
1993-09,32.3,
1993-10,29.2,
1993-11,29.3,
1993-12,34.9,
1994-01,26.1,
1994-02,26.2,
1994-03,26.6,
1994-04,27.4,
1994-05,29.7,
1994-06,27.8,
1994-07,26.6,
1994-08,25.9,
1994-09,29.0,
1994-10,29.8,
1994-11,30.3,
1994-12,34.5,
1995-01,31.4,
1995-02,29.8,
1995-03,31.7,
1995-04,30.2,
1995-05,29.3,
1995-06,28.7,
1995-07,32.2,
1995-08,27.8,
1995-09,32.9,
1995-10,28.2,
1995-11,28.4,
1995-12,29.5,
1996-01,30.1,
1996-02,30.0,
1996-03,30.6,
1996-04,30.0,
1996-05,32.0,
1996-06,29.7,
1996-07,32.6,
1996-08,31.1,
1996-09,31.2,
1996-10,32.9,
1996-11,35.0,
1996-12,32.9,
1997-01,35.4,
1997-02,32.5,
1997-03,35.3,
1997-04,36.6,
1997-05,35.7,
1997-06,41.2,
1997-07,36.7,
1997-08,37.9,
1997-09,37.1,
1997-10,38.7,
1997-11,38.1,
1997-12,38.3,
1998-01,37.6,
1998-02,36.7,
1998-03,38.4,
1998-04,38.3,
1998-05,37.6,
1998-06,38.2,
1998-07,40.9,
1998-08,40.1,
1998-09,44.7,
1998-10,37.5,
1998-11,42.2,
1998-12,41.2,
1999-01,41.2,
1999-02,41.7,
1999-03,42.1,
1999-04,39.6,
1999-05,45.0,
1999-06,45.6,
1999-07,50.3,
1999-08,49.6,
1999-09,50.7,
1999-10,51.3,
1999-11,51.9,
1999-12,57.0,
2000-01,53.0,
2000-02,58.8,
2000-03,58.8,
2000-04,62.4,
2000-05,66.0,
2000-06,71.5,
2000-07,63.8,
2000-08,72.7,
2000-09,70.6,
2000-10,69.9,
2000-11,60.2,
2000-12,60.7,
2001-01,52.3,
2001-02,54.3,
2001-03,55.5,
2001-04,46.6,
2001-05,52.9,
2001-06,54.1,
2001-07,53.0,
2001-08,51.4,
2001-09,45.3,
2001-10,47.8,
2001-11,53.5,
2001-12,51.8,
2002-01,48.2,
2002-02,55.3,
2002-03,56.6,
2002-04,55.4,
2002-05,58.8,
2002-06,54.0,
2002-07,50.7,
2002-08,53.8,
2002-09,54.8,
2002-10,54.6,
2002-11,55.9,
2002-12,51.6,
2003-01,54.9,
2003-02,53.2,
2003-03,53.6,
2003-04,52.0,
2003-05,50.1,
2003-06,54.1,
2003-07,55.6,
2003-08,59.5,
2003-09,60.6,
2003-10,59.2,
2003-11,61.7,
2003-12,60.2,
2004-01,60.8,
2004-02,63.4,
2004-03,61.9,
2004-04,63.3,
2004-05,66.4,
2004-06,68.3,
2004-07,69.6,
2004-08,71.0,
2004-09,66.6,
2004-10,67.3,
2004-11,66.6,
2004-12,68.9,
2005-01,71.8,
2005-02,66.1,
2005-03,71.9,
2005-04,72.9,
2005-05,74.6,
2005-06,77.1,
2005-07,75.9,
2005-08,79.7,
2005-09,79.1,
2005-10,79.7,
2005-11,83.9,
2005-12,84.4,
2006-01,84.0,
2006-02,91.0,
2006-03,94.2,
2006-04,91.1,
2006-05,90.5,
2006-06,92.1,
2006-07,93.7,
2006-08,91.9,
2006-09,98.9,
2006-10,92.8,
2006-11,93.3,
2006-12,96.8,
2007-01,93.7,
2007-02,95.7,
2007-03,98.3,
2007-04,96.3,
2007-05,100.9,
2007-06,102.4,
2007-07,101.8,
2007-08,99.5,
2007-09,104.2,
2007-10,118.0,
2007-11,98.6,
2007-12,102.7,
2008-01,98.7,
2008-02,101.9,
2008-03,103.7,
2008-04,100.8,
2008-05,100.9,
2008-06,95.0,
2008-07,92.5,
2008-08,99.1,
2008-09,89.0,
2008-10,94.1,
2008-11,82.6,
2008-12,78.0,
2009-01,77.8,
2009-02,76.5,
2009-03,76.9,
2009-04,76.6,
2009-05,77.6,
2009-06,81.8,
2009-07,84.1,
2009-08,82.5,
2009-09,87.7,
2009-10,86.5,
2009-11,86.9,
2009-12,93.4,
2010-01,90.0,
2010-02,86.6,
2010-03,90.0,
2010-04,94.9,
2010-05,95.9,
2010-06,97.9,
2010-07,99.4,
2010-08,97.2,
2010-09,98.9,
2010-10,102.0,
2010-11,138.7,
2010-12,105.9,
2011-01,110.5,
2011-02,104.6,
2011-03,102.6,
2011-04,102.6,
2011-05,101.0,
2011-06,95.3,
2011-07,110.9,
2011-08,100.7,
2011-09,102.2,
2011-10,98.4,
2011-11,97.5,
2011-12,96.7,
2012-01,94.9,
2012-02,108.4,
2012-03,98.9,
2012-04,95.4,
2012-05,102.8,
2012-06,102.3,
2012-07,99.1,
2012-08,99.5,
2012-09,96.9,
2012-10,95.3,
2012-11,96.9,
2012-12,94.0,
2013-01,99.1,
2013-02,96.4,
2013-03,111.0,
2013-04,100.0,
2013-05,99.1,
2013-06,102.3,
2013-07,97.6,
2013-08,100.3,
2013-09,99.6,
2013-10,102.0,
2013-11,103.5,
2013-12,106.5,
2014-01,104.2,
2014-02,105.4,
2014-03,110.5,
2014-04,115.6,
2014-05,107.5,
2014-06,105.5,
2014-07,108.8,
2014-08,105.4,
2014-09,109.0,
2014-10,116.5,
2014-11,113.3,
2014-12,109.2,Provisional value
