"",BBK01.OEAD32L,BBK01.OEAD32L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:03,
2002-01,1.137,
2002-04,0.981,
2002-07,0.990,
2002-10,0.971,
2003-01,0.898,
2003-04,0.897,
2003-07,0.927,
2003-10,0.919,
2004-01,0.852,
2004-04,0.703,
2004-07,0.618,
2004-10,0.592,
2005-01,0.607,
2005-04,0.624,
2005-07,0.641,
2005-10,0.759,
2006-01,0.743,
2006-04,0.774,
2006-07,0.685,
2006-10,0.718,
2007-01,1.175,
2007-04,0.742,
2007-07,0.836,
2007-10,0.861,
2008-01,0.968,
2008-04,0.923,
2008-07,0.973,
2008-10,0.911,
2009-01,0.870,
2009-04,0.838,
2009-07,0.864,
2009-10,0.824,
2010-01,0.788,
2010-04,0.812,
2010-07,0.785,
2010-10,0.727,
2011-01,0.713,
2011-04,0.658,
2011-07,0.533,
2011-10,0.541,
2012-01,0.513,
2012-04,0.551,
2012-07,0.623,
2012-10,0.597,
2013-01,0.578,
2013-04,0.522,
2013-07,0.514,
2013-10,0.446,
2014-01,0.460,
2014-04,0.475,
2014-07,0.481,
