"",BBK01.OEAF12G,BBK01.OEAF12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:45,
2002-01,7.829,
2002-04,8.038,
2002-07,8.263,
2002-10,8.189,
2003-01,7.767,
2003-04,7.660,
2003-07,7.882,
2003-10,7.640,
2004-01,7.346,
2004-04,7.220,
2004-07,7.199,
2004-10,6.996,
2005-01,6.892,
2005-04,6.921,
2005-07,7.069,
2005-10,6.907,
2006-01,6.605,
2006-04,6.611,
2006-07,6.740,
2006-10,6.590,
2007-01,6.481,
2007-04,6.298,
2007-07,6.330,
2007-10,6.319,
2008-01,6.259,
2008-04,6.368,
2008-07,6.214,
2008-10,6.709,
2009-01,6.953,
2009-04,7.142,
2009-07,7.114,
2009-10,6.988,
2010-01,7.113,
2010-04,7.349,
2010-07,7.438,
2010-10,7.144,
2011-01,7.095,
2011-04,7.148,
2011-07,7.039,
2011-10,6.896,
2012-01,6.628,
2012-04,6.699,
2012-07,6.576,
2012-10,6.468,
2013-01,6.299,
2013-04,6.192,
2013-07,6.215,
2013-10,5.702,
2014-01,5.651,
2014-04,5.850,
2014-07,5.500,
