"",BBK01.OECB03T,BBK01.OECB03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:01,
2002-01,0.116,
2002-04,0.109,
2002-07,0.106,
2002-10,0.101,
2003-01,0.103,
2003-04,0.108,
2003-07,0.124,
2003-10,0.144,
2004-01,0.138,
2004-04,0.133,
2004-07,0.128,
2004-10,0.132,
2005-01,0.147,
2005-04,0.146,
2005-07,0.146,
2005-10,0.145,
2006-01,0.148,
2006-04,0.152,
2006-07,0.161,
2006-10,0.125,
2007-01,0.116,
2007-04,0.110,
2007-07,0.102,
2007-10,0.102,
2008-01,0.153,
2008-04,0.164,
2008-07,0.176,
2008-10,0.184,
2009-01,0.180,
2009-04,0.177,
2009-07,0.167,
2009-10,0.165,
2010-01,0.137,
2010-04,0.138,
2010-07,0.174,
2010-10,0.165,
2011-01,0.167,
2011-04,0.164,
2011-07,0.172,
2011-10,0.177,
2012-01,0.181,
2012-04,0.204,
2012-07,0.186,
2012-10,0.163,
2013-01,0.199,
2013-04,0.199,
2013-07,0.212,
2013-10,0.190,
2014-01,0.187,
2014-04,0.191,
2014-07,0.216,
