"",BBEX3.A.TZS.USD.CA.AA.A04,BBEX3.A.TZS.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in the United Republic of Tanzania / USD 1 = TZS ... (buying),
unit,TZS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:17:02,
1984,15.4552,comment
1985,17.2594,
1986,34.1546,comment
1987,65.3450,
1988,100.0661,comment
1989,144.6438,comment
1990,194.4335,
1991,220.1189,
1992,300.9646,
1993,405.7074,
1994,506.3567,
1995,571.0607,
1996,574.6516,
1997,607.2897,
1998,660.8634,
1999,742.3862,
2000,792.6509,
2001,872.2049,
2002,956.0603,
2003,1032.1484,
2004,1078.7898,
2005,1120.9044,
2006,1241.5895,
2007,1226.7478,
2008,1194.2601,
2009,1293.9977,
2010,1387.6302,
2011,1546.0382,
2012,1560.3764,
2013,1589.3878,
2014,1650.8663,
"","Source: Bank of Tanzania, Dar es Salaam",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1984: On 15 June 1984, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 14 June 1984: USD 1 = TZS 12.5831 / 12.6629 16 June 1984: USD 1 = TZS 17.0197 / 17.1269 Calculated devaluation: 26.1%.",
"","Comment on 1986: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1988: On 5 November 1988, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 4 November 1988: USD 1 = TZS 98.6715 / 99.6637 7 November 1988: USD 1 = TZS 119.3997 / 120.6003 Calculated devaluation: 17.4%.",
"","Comment on 1989: On 3 December 1989, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 2 December 1989: USD 1 = TZS 156.6547 / 158.2297 3 December 1989: USD 1 = TZS 189.0497 / 190.9503 Calculated devaluation: 17.1%.",
