"",BBSF2.M.1.S.00000.REN01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:38,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,1851,
1993-05,1536,
1993-06,1457,
1993-07,1887,
1993-08,1669,
1993-09,1924,
1993-10,2379,
1993-11,2157,
1993-12,1946,
1994-01,2863,
1994-02,2256,
1994-03,2479,
1994-04,2549,
1994-05,1883,
1994-06,1933,
1994-07,1931,
1994-08,2510,
1994-09,2587,
1994-10,2646,
1994-11,1949,
1994-12,1792,
1995-01,2017,
1995-02,2617,
1995-03,3451,
1995-04,3952,
1995-05,4734,
1995-06,4890,
1995-07,4149,
1995-08,3488,
1995-09,3554,
1995-10,3137,
1995-11,2661,
1995-12,3625,
1996-01,4231,
1996-02,4696,
1996-03,4383,
1996-04,3057,
1996-05,3484,
1996-06,3764,
1996-07,4786,
1996-08,4567,
1996-09,4576,
1996-10,5130,
1996-11,3700,
1996-12,3739,
1997-01,3640,
1997-02,3198,
1997-03,3842,
1997-04,3431,
1997-05,3420,
1997-06,3034,
1997-07,3382,
1997-08,4152,
1997-09,3566,
1997-10,4108,
1997-11,4609,
1997-12,4800,
1998-01,4900,
1998-02,3686,
1998-03,4112,
1998-04,4082,
1998-05,3395,
1998-06,3765,
1998-07,3918,
1998-08,4274,
1998-09,4609,
1998-10,5721,
1998-11,5413,
1998-12,6312,
1999-01,5722,
1999-02,6699,
1999-03,5903,
1999-04,5822,
1999-05,6688,
1999-06,6761,
1999-07,6407,
1999-08,6527,
1999-09,6263,
1999-10,6747,
1999-11,6790,
1999-12,6318,
2000-01,7442,
2000-02,6581,
2000-03,5574,
2000-04,5629,
2000-05,6544,
2000-06,5310,
2000-07,5263,
2000-08,5564,
2000-09,5306,
2000-10,5673,
2000-11,5538,
2000-12,6191,
2001-01,6510,
2001-02,7234,
2001-03,6203,
2001-04,6351,
2001-05,6282,
2001-06,6149,
2001-07,6173,
2001-08,7403,
2001-09,7826,
2001-10,7702,
2001-11,9028,
2001-12,7930,
2002-01,7731,
2002-02,7882,
2002-03,7391,
2002-04,7973,
2002-05,8742,
2002-06,8410,
2002-07,9592,
2002-08,9033,
2002-09,8860,
2002-10,9650,
2002-11,10754,
2002-12,10057,
2003-01,9419,
2003-02,9161,
2003-03,10371,
2003-04,10557,
2003-05,11002,
2003-06,10192,
2003-07,9867,
2003-08,10676,
2003-09,10774,
2003-10,9534,
2003-11,10069,
2003-12,8095,
2004-01,8444,
2004-02,8620,
2004-03,8299,
2004-04,8653,
2004-05,7604,
2004-06,7217,
2004-07,7308,
2004-08,7433,
2004-09,6947,
2004-10,7486,
2004-11,7288,
2004-12,7126,
2005-01,8312,
2005-02,8664,
2005-03,7850,
2005-04,6918,
2005-05,6640,
2005-06,7000,
2005-07,7612,
2005-08,6670,
2005-09,6928,
2005-10,6486,
2005-11,7120,
2005-12,7791,
2006-01,7166,
2006-02,6065,
2006-03,6527,
2006-04,7615,
2006-05,7249,
2006-06,8094,
2006-07,6900,
2006-08,6886,
2006-09,8083,
2006-10,8008,
2006-11,7268,
2006-12,6187,
2007-01,8344,
2007-02,9219,
2007-03,7302,
2007-04,7981,
2007-05,7201,
2007-06,8032,
2007-07,7898,
2007-08,8489,
2007-09,10130,
2007-10,9402,
2007-11,11208,
2007-12,9638,
2008-01,12120,
2008-02,12183,
2008-03,13289,
2008-04,14633,
2008-05,14453,
2008-06,14223,
2008-07,14678,
2008-08,14562,
2008-09,15816,
2008-10,17567,
2008-11,17268,
2008-12,16472,
2009-01,14841,
2009-02,13675,
2009-03,13493,
2009-04,13121,
2009-05,11557,
2009-06,10362,
2009-07,10362,
2009-08,9605,
2009-09,8456,
2009-10,7782,
2009-11,7136,
2009-12,6406,
2010-01,7383,
2010-02,7552,
2010-03,6733,
2010-04,6736,
2010-05,7220,
2010-06,7227,
2010-07,7456,
2010-08,6786,
2010-09,7572,
2010-10,7989,
2010-11,8337,
2010-12,7334,
2011-01,8592,
2011-02,8931,
2011-03,8201,
2011-04,8920,
2011-05,7789,
2011-06,7692,
2011-07,8423,
2011-08,8982,
2011-09,9066,
2011-10,9262,
2011-11,8668,
2011-12,7524,
2012-01,8774,
2012-02,8592,
2012-03,8384,
2012-04,8596,
2012-05,9241,
2012-06,10437,
2012-07,10076,
2012-08,9023,
2012-09,9458,
2012-10,9637,
2012-11,9376,
2012-12,8797,
2013-01,9434,
2013-02,9647,
2013-03,9420,
2013-04,9134,
2013-05,8876,
2013-06,9120,
2013-07,8956,
2013-08,9045,
2013-09,8717,
2013-10,10439,
2013-11,8667,
2013-12,8133,
2014-01,9341,
2014-02,9272,
2014-03,7943,
2014-04,9070,
2014-05,8459,
2014-06,8449,
2014-07,8842,
2014-08,8675,
2014-09,8506,
2014-10,8703,
2014-11,8510,
