"",BBK01.OEAH61S,BBK01.OEAH61S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:27,
2002-01,2.648,
2002-04,2.713,
2002-07,2.745,
2002-10,2.921,
2003-01,3.056,
2003-04,3.127,
2003-07,3.158,
2003-10,3.310,
2004-01,3.399,
2004-04,3.467,
2004-07,3.501,
2004-10,3.658,
2005-01,3.859,
2005-04,3.926,
2005-07,3.955,
2005-10,4.101,
2006-01,4.175,
2006-04,4.214,
2006-07,4.208,
2006-10,4.327,
2007-01,4.353,
2007-04,4.342,
2007-07,4.302,
2007-10,4.411,
2008-01,4.419,
2008-04,4.346,
2008-07,4.283,
2008-10,4.297,
2009-01,4.307,
2009-04,4.301,
2009-07,4.328,
2009-10,4.494,
2010-01,4.554,
2010-04,4.548,
2010-07,4.572,
2010-10,4.644,
2011-01,4.649,
2011-04,4.604,
2011-07,4.579,
2011-10,4.689,
2012-01,4.728,
2012-04,4.742,
2012-07,4.779,
2012-10,4.747,
2013-01,4.787,
2013-04,4.820,
2013-07,4.861,
2013-10,4.923,
2014-01,4.983,
2014-04,5.010,
2014-07,5.072,
