"",BBEX3.M.BIF.USD.CA.AA.A01,BBEX3.M.BIF.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Burundi / USD 1 = BIF ... (buying),
unit,BIF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:06,
1990-01,174.0300,
1990-02,175.3465,
1990-03,178.7089,
1990-04,177.3963,
1990-05,174.7174,
1990-06,174.6790,
1990-07,170.1788,
1990-08,166.9163,
1990-09,165.9863,
1990-10,160.5064,
1990-11,160.3832,
1990-12,163.4303,
1991-01,161.1088,
1991-02,162.7339,
1991-03,172.2630,
1991-04,174.0893,
1991-05,171.6848,
1991-06,175.1435,
1991-07,173.1042,
1991-08,203.0129,comment
1991-09,200.0216,
1991-10,200.9547,
1991-11,195.7688,
1991-12,190.1414,
1992-01,194.1875,
1992-02,196.5954,
1992-03,198.3025,
1992-04,198.0496,
1992-05,209.6321,
1992-06,207.9534,
1992-07,204.4307,
1992-08,198.6801,
1992-09,206.3481,
1992-10,219.3263,
1992-11,232.7240,
1992-12,234.6557,
1993-01,231.5539,
1993-02,236.8864,
1993-03,234.4688,
1993-04,228.8757,
1993-05,229.5144,
1993-06,237.5655,
1993-07,243.6538,
1993-08,239.9044,
1993-09,240.2490,
1993-10,257.6128,
1993-11,260.4119,
1993-12,262.2653,
1994-01,261.2134,
1994-02,258.2950,
1994-03,255.2011,
1994-04,253.6111,
1994-05,253.1762,
1994-06,247.0920,
1994-07,247.9269,
1994-08,246.5362,
1994-09,243.0926,
1994-10,239.5615,
1994-11,246.1056,
1994-12,244.9685,
1995-01,240.8130,
1995-02,238.4031,
1995-03,232.7311,
1995-04,238.6618,
1995-05,239.5181,
1995-06,239.2927,
1995-07,238.9118,
1995-08,250.2068,
1995-09,257.8633,
1995-10,264.2543,
1995-11,271.3708,
1995-12,275.6995,
1996-01,283.4634,
1996-02,278.6352,
1996-03,279.2989,
1996-04,282.8121,
1996-05,283.8470,
1996-06,314.8127,
1996-07,313.0443,
1996-08,312.9160,
1996-09,317.3811,
1996-10,315.3331,
1996-11,316.5761,
1996-12,319.7678,
1997-01,331.4220,
1997-02,337.2793,
1997-03,336.4590,
1997-04,341.8399,
1997-05,337.0885,
1997-06,339.9495,
1997-07,351.7168,
1997-08,347.6497,
1997-09,345.4831,
1997-10,338.1212,
1997-11,400.5132,
1997-12,405.1147,
1998-01,410.6212,
1998-02,408.0984,
1998-03,412.3552,
1998-04,406.0212,
1998-05,406.5565,
1998-06,426.4596,
1998-07,472.2538,
1998-08,469.4651,
1998-09,486.3824,
1998-10,494.8820,
1998-11,509.0763,
1998-12,501.1190,
1999-01,508.8555,
1999-02,522.6701,
1999-03,531.2938,
1999-04,534.1408,
1999-05,540.0150,
1999-06,543.9401,
1999-07,529.6716,
1999-08,605.0499,
1999-09,603.5215,
1999-10,607.4731,
1999-11,622.8909,
1999-12,623.5483,
2000-01,637.3177,
2000-02,643.5871,
2000-03,647.3674,
2000-04,667.3150,
2000-05,657.8513,
2000-06,648.1596,
2000-07,781.0678,
2000-08,770.5476,
2000-09,793.6000,
2000-10,799.5718,
2000-11,826.2512,
2000-12,771.9744,
2001-01,766.9152,
2001-02,768.0156,
2001-03,771.6029,
2001-04,796.8240,
2001-05,886.8480,
2001-06,823.3345,
2001-07,840.2240,
2001-08,839.7280,
2001-09,840.4522,
2001-10,851.4832,
2001-11,855.5504,
2001-12,857.2864,
2002-01,859.0720,
2002-02,859.6002,
2002-03,748.3407,
2002-04,858.5283,
2002-05,858.5098,
2002-06,852.5098,
2002-07,877.2350,
2002-08,1055.0667,
2002-09,1064.4256,
2002-10,1065.3333,
2002-11,1058.3891,
2002-12,1061.3652,
2003-01,1058.3151,
2003-02,1072.0886,
2003-03,1082.5118,
2003-04,1059.3413,
2003-05,1062.8784,
2003-06,1067.6413,
2003-07,1071.6725,
2003-08,1128.0947,
2003-09,1089.0613,
2003-10,1068.9069,
2003-11,1083.9380,
2003-12,1084.2560,
2004-01,1087.3957,
2004-02,1088.5826,
2004-03,1089.5570,
2004-04,1091.6222,
2004-05,1093.0575,
2004-06,1093.9076,
2004-07,1094.1022,
2004-08,1094.1118,
2004-09,1094.1202,
2004-10,1093.8635,
2004-11,1091.7372,
2004-12,1100.6380,
2005-01,1116.3670,
2005-02,1137.6653,
2005-03,1136.1674,
2005-04,1105.9411,
2005-05,1088.7696,
2005-06,1081.9050,
2005-07,1062.8311,
2005-08,1045.2151,
2005-09,1024.8129,
2005-10,1004.1044,
2005-11,986.4488,
2005-12,985.8066,
2006-01,990.3712,
2006-02,995.5780,
2006-03,1005.2900,
2006-04,1008.5208,
2006-05,1017.8969,
2006-06,1015.3380,
2006-07,1017.5116,
2006-08,1036.6689,
2006-09,1044.2962,
2006-10,1046.3908,
2006-11,1037.7853,
2006-12,990.4404,
2007-01,1026.8976,
2007-02,1038.2596,
2007-03,1029.1008,
2007-04,1034.1001,
2007-05,1049.5919,
2007-06,1076.3272,
2007-07,1082.8480,
2007-08,1092.1648,
2007-09,1098.2608,
2007-10,1121.1330,
2007-11,1130.5783,
2007-12,1106.1055,
2008-01,1143.1950,
2008-02,1148.5500,
2008-03,1165.0792,
2008-04,1154.3002,
2008-05,1165.2966,
2008-06,1184.9043,
2008-07,1179.8749,
2008-08,1168.5760,
2008-09,1180.2816,
2008-10,1198.2467,
2008-11,1226.5584,
2008-12,1223.6122,comment
2009-01,1222.4019,
2009-02,1220.5866,
2009-03,1224.6141,
2009-04,1217.1840,
2009-05,1218.9200,
2009-06,1220.4080,
2009-07,1220.6560,
2009-08,1220.9040,
2009-09,1220.9040,
2009-10,1220.6560,
2009-11,1220.6560,
2009-12,1220.6560,
2010-01,1220.1600,
2010-02,1220.1600,
2010-03,1220.1600,
2010-04,1220.2592,
2010-05,1220.2592,
2010-06,1220.9536,
2010-07,1221.0528,
2010-08,1221.0528,comment
2010-09,1215.6125,
2010-10,1215.7113,
2010-11,1217.0938,
2010-12,1217.4888,
2011-01,1218.5750,
2011-02,1220.1550,
2011-03,1221.3400,
2011-04,1222.7225,
2011-05,1224.6975,
2011-06,1227.5613,
2011-07,1234.0788,
2011-08,1243.3613,
2011-09,1255.8038,
2011-10,1277.3313,
2011-11,1315.0538,
2011-12,1344.4813,
