"",BBFN1.M.DE.N.1.A.KR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents arising from trade credits / Total / Korea, Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:28,
1994-07,0.608,
1994-08,0.599,
1994-09,0.647,
1994-10,0.665,
1994-11,0.673,
1994-12,0.694,
1995-01,0.744,
1995-02,0.774,
1995-03,0.837,
1995-04,0.857,
1995-05,0.880,
1995-06,0.893,
1995-07,0.889,
1995-08,0.914,
1995-09,0.929,
1995-10,0.894,
1995-11,0.935,
1995-12,1.163,
1996-01,1.066,
1996-02,1.190,
1996-03,1.234,
1996-04,1.304,
1996-05,1.345,
1996-06,1.252,
1996-07,1.291,
1996-08,1.363,
1996-09,1.395,
1996-10,1.413,
1996-11,1.468,
1996-12,1.609,
1997-01,1.545,
1997-02,1.523,
1997-03,1.551,
1997-04,1.538,
1997-05,1.583,
1997-06,1.516,
1997-07,1.503,
1997-08,1.406,
1997-09,1.347,
1997-10,1.386,
1997-11,1.249,
1997-12,1.164,
1998-01,1.112,
1998-02,1.050,
1998-03,0.994,
1998-04,0.994,
1998-05,1.037,
1998-06,1.125,
1998-07,1.148,
1998-08,1.078,
1998-09,1.054,
1998-10,1.233,
1998-11,1.269,
1998-12,1.270,
1999-01,1.131,
1999-02,1.155,
1999-03,1.367,
1999-04,1.487,
1999-05,1.479,
1999-06,1.358,
1999-07,1.354,
1999-08,1.366,
1999-09,1.468,
1999-10,1.528,
1999-11,1.476,
1999-12,1.557,
2000-01,1.617,
2000-02,1.678,
2000-03,1.771,
2000-04,1.802,
2000-05,1.767,
2000-06,1.715,
2000-07,1.715,
2000-08,1.612,
2000-09,1.678,
2000-10,1.754,
2000-11,1.648,
2000-12,1.576,
2001-01,1.520,
2001-02,1.490,
2001-03,1.536,
2001-04,1.538,
2001-05,1.544,
2001-06,1.616,
2001-07,1.742,
2001-08,1.760,
2001-09,1.702,
2001-10,1.555,
2001-11,1.803,
2001-12,1.642,
2002-01,1.788,
2002-02,1.841,
2002-03,1.643,
2002-04,1.690,
2002-05,1.586,
2002-06,1.539,
2002-07,1.591,
2002-08,1.487,
2002-09,1.487,
2002-10,1.505,
2002-11,1.586,
2002-12,1.513,
2003-01,1.438,
2003-02,1.705,
2003-03,1.881,
2003-04,1.858,
2003-05,1.929,
2003-06,1.885,
2003-07,1.953,
2003-08,1.977,
2003-09,1.953,
2003-10,2.040,
2003-11,2.079,
2003-12,2.019,
2004-01,1.979,
2004-02,2.054,
2004-03,1.966,
2004-04,2.065,
2004-05,2.087,
2004-06,2.039,
2004-07,2.079,
2004-08,1.880,
2004-09,1.863,
2004-10,1.990,
2004-11,1.913,
2004-12,1.806,
2005-01,1.852,
2005-02,1.823,
2005-03,1.932,
2005-04,1.859,
2005-05,1.925,
2005-06,1.860,
2005-07,1.805,
2005-08,1.709,
2005-09,1.769,
2005-10,1.724,
2005-11,1.718,
2005-12,1.603,
2006-01,1.598,
2006-02,1.597,
2006-03,1.677,
2006-04,1.591,
2006-05,1.498,
2006-06,1.396,
2006-07,1.503,
2006-08,1.515,
2006-09,1.558,
2006-10,1.474,
2006-11,1.519,
2006-12,1.989,
2007-01,2.026,
2007-02,2.067,
2007-03,2.080,
2007-04,2.164,
2007-05,2.122,
2007-06,2.093,
2007-07,2.169,
2007-08,2.106,
2007-09,2.162,
2007-10,1.896,
2007-11,2.059,
2007-12,2.119,
2008-01,2.031,
2008-02,1.983,
2008-03,1.996,
2008-04,2.021,
2008-05,1.972,
2008-06,2.178,
2008-07,2.231,
2008-08,2.215,
2008-09,2.315,
2008-10,2.379,
2008-11,2.428,
2008-12,2.232,
2009-01,2.250,
2009-02,2.263,
2009-03,2.062,
2009-04,2.052,
2009-05,2.063,
2009-06,2.082,
2009-07,2.147,
2009-08,2.101,
2009-09,2.190,
2009-10,2.198,
2009-11,2.306,
2009-12,2.318,
2010-01,2.184,
2010-02,2.245,
2010-03,2.393,
2010-04,2.354,
2010-05,2.396,
2010-06,2.380,
2010-07,2.528,
2010-08,2.422,
2010-09,2.417,
2010-10,2.321,
2010-11,2.321,
2010-12,2.554,
2011-01,2.494,
2011-02,2.620,
2011-03,2.780,
2011-04,2.762,
2011-05,2.657,
2011-06,2.549,
2011-07,2.585,
2011-08,2.530,
2011-09,2.478,
2011-10,2.539,
2011-11,2.571,
2011-12,2.765,
2012-01,2.723,
2012-02,2.798,
2012-03,2.807,
2012-04,2.821,
2012-05,2.878,
2012-06,2.916,
2012-07,3.022,
2012-08,2.956,
2012-09,2.861,
2012-10,2.891,
2012-11,2.830,
2012-12,2.989,
2013-01,2.906,
2013-02,2.617,
2013-03,2.595,
2013-04,2.481,
2013-05,2.558,
2013-06,2.574,
2013-07,2.493,
2013-08,2.516,
2013-09,2.507,
2013-10,2.487,
2013-11,2.375,
2013-12,2.333,
2014-01,2.524,
2014-02,2.323,
2014-03,2.440,
2014-04,2.436,
2014-05,2.415,
2014-06,2.515,
2014-07,2.596,
2014-08,2.429,
2014-09,2.366,
2014-10,2.529,
2014-11,2.635,
2014-12,2.433,
