"",BBK01.OEAD40H,BBK01.OEAD40H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:58,
2002-01,3.682,
2002-04,3.656,
2002-07,3.598,
2002-10,3.546,
2003-01,3.401,
2003-04,3.328,
2003-07,3.255,
2003-10,3.240,
2004-01,3.149,
2004-04,3.101,
2004-07,3.117,
2004-10,3.032,
2005-01,2.997,
2005-04,2.852,
2005-07,2.810,
2005-10,2.784,
2006-01,2.718,
2006-04,2.699,
2006-07,2.699,
2006-10,2.667,
2007-01,2.675,
2007-04,2.662,
2007-07,2.685,
2007-10,2.652,
2008-01,2.682,
2008-04,2.654,
2008-07,2.624,
2008-10,2.536,
2009-01,2.474,
2009-04,2.399,
2009-07,2.395,
2009-10,2.348,
2010-01,2.244,
2010-04,2.381,
2010-07,2.376,
2010-10,2.347,
2011-01,2.302,
2011-04,2.299,
2011-07,2.271,
2011-10,2.270,
2012-01,2.246,
2012-04,2.217,
2012-07,2.317,
2012-10,2.246,
2013-01,2.199,
2013-04,2.198,
2013-07,2.191,
2013-10,2.150,
2014-01,2.116,
2014-04,2.089,
2014-07,2.176,
