"",BBK01.OEAC04M,BBK01.OEAC04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:52,
2002-01,5.798,
2002-04,5.800,
2002-07,5.717,
2002-10,5.559,
2003-01,5.537,
2003-04,5.572,
2003-07,5.511,
2003-10,5.313,
2004-01,5.354,
2004-04,5.343,
2004-07,5.337,
2004-10,5.065,
2005-01,5.134,
2005-04,5.092,
2005-07,5.083,
2005-10,5.113,
2006-01,5.188,
2006-04,5.131,
2006-07,5.001,
2006-10,4.890,
2007-01,5.006,
2007-04,5.111,
2007-07,5.129,
2007-10,4.961,
2008-01,4.989,
2008-04,5.029,
2008-07,5.021,
2008-10,5.076,
2009-01,6.218,
2009-04,6.282,
2009-07,6.185,
2009-10,6.155,
2010-01,6.428,
2010-04,6.434,
2010-07,6.543,
2010-10,6.234,
2011-01,6.274,
2011-04,6.109,
2011-07,6.109,
2011-10,6.031,
2012-01,6.178,
2012-04,6.246,
2012-07,6.283,
2012-10,6.210,
2013-01,6.257,
2013-04,6.337,
2013-07,6.364,
2013-10,6.243,
2014-01,6.222,
2014-04,6.246,
2014-07,6.279,
