"",BBK01.BQM209,BBK01.BQM209_FLAGS
"",State government debt - of which loans - of which long-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:39,
2000-01,279912,
2000-04,281206,
2000-07,279571,
2000-10,282067,
2001-01,283063,
2001-04,282647,
2001-07,281875,
2001-10,280936,
2002-01,278607,
2002-04,276416,
2002-07,274763,
2002-10,276579,
2003-01,278408,
2003-04,277615,
2003-07,275581,
2003-10,275683,
2004-01,274212,
2004-04,274763,
2004-07,276227,
2004-10,277120,
2005-01,278559,
2005-04,279626,
2005-07,279831,
2005-10,280192,
2006-01,277185,
2006-04,275198,
2006-07,274417,
2006-10,277271,
2007-01,272032,
2007-04,268912,
2007-07,267491,
2007-10,268374,
2008-01,278173,
2008-04,278983,
2008-07,274861,
2008-10,274349,
2009-01,273249,
2009-04,280026,
2009-07,283270,
2009-10,284577,
2010-01,282457,Provisional value
2010-04,292114,Provisional value
2010-07,291361,Provisional value
2010-10,295962,Provisional value
2011-01,296116,Provisional value
2011-04,295552,Provisional value
2011-07,293636,Provisional value
2011-10,284971,Provisional value
2012-01,285535,Provisional value
2012-04,281996,Provisional value
2012-07,284819,Provisional value
2012-10,279133,Provisional value
2013-01,277530,Provisional value
2013-04,275893,Provisional value
2013-07,274803,Provisional value
2013-10,272079,Provisional value
2014-01,268452,Provisional value
2014-04,262373,Provisional value
2014-07,258102,Provisional value
