"",BBDE1.M.DE.W.AEA1.P2XF02000.B2.V.I10.A,BBDE1.M.DE.W.AEA1.P2XF02000.B2.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Structural engineering work / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:19,
1991-01,111.4,
1991-02,116.5,
1991-03,157.7,
1991-04,140.4,
1991-05,154.8,
1991-06,176.1,
1991-07,154.1,
1991-08,157.8,
1991-09,183.0,
1991-10,159.3,
1991-11,149.7,
1991-12,152.3,
1992-01,129.7,
1992-02,157.9,
1992-03,182.9,
1992-04,162.0,
1992-05,164.3,
1992-06,207.4,
1992-07,168.9,
1992-08,166.7,
1992-09,182.4,
1992-10,169.2,
1992-11,162.5,
1992-12,197.4,
1993-01,135.8,
1993-02,148.6,
1993-03,201.7,
1993-04,177.8,
1993-05,184.9,
1993-06,210.7,
1993-07,198.1,
1993-08,189.3,
1993-09,207.2,
1993-10,208.0,
1993-11,190.0,
1993-12,203.6,
1994-01,176.6,
1994-02,175.5,
1994-03,246.5,
1994-04,212.1,
1994-05,217.9,
1994-06,241.0,
1994-07,208.2,
1994-08,203.7,
1994-09,224.9,
1994-10,209.4,
1994-11,210.0,
1994-12,227.9,
1995-01,186.7,
1995-02,182.6,
1995-03,234.6,
1995-04,210.8,
1995-05,207.9,
1995-06,239.6,
1995-07,213.3,
1995-08,203.9,
1995-09,225.8,
1995-10,200.2,
1995-11,174.7,
1995-12,189.0,
1996-01,149.3,
1996-02,169.6,
1996-03,218.2,
1996-04,185.1,
1996-05,199.9,
1996-06,232.7,
1996-07,202.8,
1996-08,198.6,
1996-09,212.0,
1996-10,184.1,
1996-11,165.7,
1996-12,186.8,
1997-01,136.6,
1997-02,154.4,
1997-03,196.9,
1997-04,160.4,
1997-05,184.2,
1997-06,195.4,
1997-07,174.7,
1997-08,172.1,
1997-09,187.7,
1997-10,167.3,
1997-11,140.8,
1997-12,166.2,
1998-01,123.4,
1998-02,146.3,
1998-03,187.1,
1998-04,164.2,
1998-05,169.5,
1998-06,186.7,
1998-07,175.5,
1998-08,161.6,
1998-09,179.9,
1998-10,151.6,
1998-11,143.8,
1998-12,157.0,
1999-01,127.5,
1999-02,146.5,
1999-03,183.3,
1999-04,166.4,
1999-05,175.1,
1999-06,192.9,
1999-07,169.8,
1999-08,159.1,
1999-09,173.4,
1999-10,157.9,
1999-11,131.3,
1999-12,138.1,
2000-01,116.5,
2000-02,122.9,
2000-03,174.6,
2000-04,151.7,
2000-05,159.0,
2000-06,167.0,
2000-07,151.1,
2000-08,132.2,
2000-09,160.7,
2000-10,132.8,
2000-11,121.1,
2000-12,137.9,
2001-01,109.2,
2001-02,109.6,
2001-03,151.5,
2001-04,141.8,
2001-05,146.6,
2001-06,168.1,
2001-07,135.6,
2001-08,132.3,
2001-09,143.8,
2001-10,122.4,
2001-11,111.8,
2001-12,113.7,
2002-01,87.1,
2002-02,104.6,
2002-03,160.9,
2002-04,120.9,
2002-05,119.8,
2002-06,138.3,
2002-07,119.5,
2002-08,111.0,
2002-09,127.7,
2002-10,98.7,
