"",BBK01.OEAC31S,BBK01.OEAC31S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:55,
2002-01,0.459,
2002-04,0.450,
2002-07,0.452,
2002-10,0.423,
2003-01,0.376,
2003-04,0.367,
2003-07,0.364,
2003-10,0.348,
2004-01,0.357,
2004-04,0.371,
2004-07,0.360,
2004-10,0.343,
2005-01,0.329,
2005-04,0.340,
2005-07,0.325,
2005-10,0.331,
2006-01,0.333,
2006-04,0.373,
2006-07,0.373,
2006-10,0.374,
2007-01,0.384,
2007-04,0.388,
2007-07,0.394,
2007-10,0.347,
2008-01,0.324,
2008-04,0.325,
2008-07,0.335,
2008-10,0.327,
2009-01,0.338,
2009-04,0.384,
2009-07,0.440,
2009-10,0.474,
2010-01,0.483,
2010-04,0.493,
2010-07,0.527,
2010-10,0.546,
2011-01,0.539,
2011-04,0.616,
2011-07,0.610,
2011-10,0.626,
2012-01,0.641,
2012-04,0.672,
2012-07,0.736,
2012-10,0.624,
2013-01,0.632,
2013-04,0.659,
2013-07,0.633,
2013-10,0.606,
2014-01,0.607,
2014-04,0.599,
2014-07,0.598,
