"",BBK01.OEHJ02G,BBK01.OEHJ02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:19,
2002-01,3.669,
2002-04,3.805,
2002-07,4.133,
2002-10,4.517,
2003-01,4.169,
2003-04,4.376,
2003-07,4.564,
2003-10,4.947,
2004-01,4.620,
2004-04,4.803,
2004-07,4.931,
2004-10,5.387,
2005-01,4.916,
2005-04,5.174,
2005-07,5.544,
2005-10,5.945,
2006-01,5.324,
2006-04,5.322,
2006-07,5.767,
2006-10,6.433,
2007-01,5.961,
2007-04,5.745,
2007-07,5.950,
2007-10,6.212,
2008-01,5.851,
2008-04,5.897,
2008-07,6.090,
2008-10,6.666,
2009-01,7.205,
2009-04,8.309,
2009-07,9.244,
2009-10,10.251,
2010-01,10.144,
2010-04,10.147,
2010-07,10.282,
2010-10,10.388,
2011-01,10.058,
2011-04,9.805,
2011-07,10.243,
2011-10,10.660,
2012-01,10.872,
2012-04,11.625,
2012-07,12.398,
2012-10,12.601,
2013-01,12.071,
2013-04,12.588,
2013-07,13.041,
2013-10,13.737,
2014-01,13.587,
2014-04,13.602,
2014-07,14.321,
